Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1990,1990,1990,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,50848464,,,,50848464,,8257962,,,0
S1,1990,1990,1990,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1038185024,,,,1038185024,,146791712,,,0
S1,1991,1991,1991,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,212999999,,,,212999999,,37799370,,,0
S1,1991,1991,1991,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,881398298,,,,881398298,,147616852,,,0
S1,1992,1992,1992,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,9603139,,,,9603139,,1321683,,,0
S1,1992,1992,1992,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2697115136,,,,2697115136,,348814560,,,0
S1,1993,1993,1993,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,147814144,,,,147814144,,18823144,,,0
S1,1993,1993,1993,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,4523322368,,,,4523322368,,527361344,,,0
S1,1994,1994,1994,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,493401696,,,,493401696,,65439916,,,0
S1,1994,1994,1994,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,10526416896,,,,10526416896,,1125573120,,,0
S1,1995,1995,1995,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,699756288,,,,699756288,,98576560,,,0
S1,1995,1995,1995,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,14010169344,,,,14010169344,,1591854976,,,0
S1,1996,1996,1996,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,780148992,,,,780148992,,126965936,,,0
S1,1996,1996,1996,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,16472775680,,,,16472775680,,2319963648,,,0
S1,1997,1997,1997,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1227138816,,,,1227138816,,192048560,,,0
S1,1997,1997,1997,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,16535476224,,,,16535476224,,2191356416,,,0
S1,1998,1998,1998,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1245236736,,,,1245236736,,135415520,,,0
S1,1998,1998,1998,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,17094863872,,,,17094863872,,1462650880,,,0
S1,1999,1999,1999,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1025326781,,,,1025326781,,136921812,,,0
S1,1999,1999,1999,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,14237253126,,,,14237253126,,1599392752,,,0
S1,2000,2000,2000,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1498715484,,,,1498715484,,322950352,,,0
S1,2000,2000,2000,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,14359427673,,,,14359427673,,2808667093,,,0
S1,2001,2001,2001,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1540057317,,,,1540057317,,284148103,,,0
S1,2001,2001,2001,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,15066209404,,,,15066209404,,2394117965,,,0
S1,2002,2002,2002,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,243834682,,,,243834682,,39156761,,,0
S1,2002,2002,2002,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,14196155759,,,,14196155759,,2223884389,,,6
S1,2003,2003,2003,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,240775799,,,,240775799,,54481899,,,0
S1,2003,2003,2003,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,12123208013,,,,12123208013,,2298635334,,,0
S1,2004,2004,2004,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,312295660,,,,312295660,,80723941,,,0
S1,2004,2004,2004,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,9430685825,,,,9430685825,,2255856362,,,0
S1,2005,2005,2005,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,196917651,,,,196917651,,68794424,,,6
S1,2005,2005,2005,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,7696232406,,,,7696232406,,2508982815,,,0
S1,2006,2006,2006,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,72213194,,,,72213194,,34491620,,,0
S1,2006,2006,2006,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,5797625871,,,,5797625871,,2406092876,,,0
S1,2007,2007,2007,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,35756198,,,,35756198,,19022164,,,0
S1,2007,2007,2007,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3042702849,,,,3042702849,,1296002689,,,0
S1,2008,2008,2008,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,4739237,,,,4739237,,2947227,,,6
S1,2008,2008,2008,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3013572481,,,,3013572481,,1618156132,,,0
S1,2009,2009,2009,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,69,,,,69,,669,,,0
S1,2009,2009,2009,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,6432234310,,,,6432234310,,2466356802,,,0
S1,2010,2010,2010,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,407,,,,407,,3241,,,0
S1,2010,2010,2010,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,4906145100,,,,4906145100,,2583534304,,,0
S1,2011,2011,2011,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,804,,,,804,,5050,,,0
S1,2011,2011,2011,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3023702118,,,,3023702118,,2182223595,,,0
S1,2012,2012,2012,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,178420203,,,,178420203,,130337615,,,0
S1,2012,2012,2012,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3510137342,,,,3510137342,,2611223721,,,0
S1,2013,2013,2013,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,294449590,,,,294449590,,245437905,,,0
