"anio","empresa","sector","unidad","variable","valor"
2002,"petrobras_ar","upstream","Millones de pesos corrientes","activo",8731
2002,"petrobras_ar","downstream","Millones de pesos corrientes","activo",588
2002,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1280
2002,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",1815
2002,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1206
2001,"petrobras_ar","upstream","Millones de pesos corrientes","activo",6915
2001,"petrobras_ar","downstream","Millones de pesos corrientes","activo",561
2001,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1167
2001,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",2614
2001,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1509
2000,"petrobras_ar","upstream","Millones de pesos corrientes","activo",5145
2000,"petrobras_ar","downstream","Millones de pesos corrientes","activo",563
2000,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1261
2000,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",2767
2000,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1530
2018,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2018,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2018,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2018,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2017,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2017,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2017,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2017,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2016,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2016,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2016,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2016,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2015,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2015,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2015,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2014,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2014,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2014,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2013,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2013,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2013,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2012,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2012,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2012,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2012,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2011,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2011,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2011,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2011,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2010,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2010,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2010,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2010,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2009,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2009,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2009,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2009,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2008,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2008,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2008,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2008,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2007,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2007,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2007,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2007,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2006,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2006,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2006,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2006,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2005,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2005,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2005,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2005,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2004,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2004,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2004,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2004,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2004,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2003,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2003,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2003,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2003,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2003,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2002,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2002,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2002,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2002,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2002,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2001,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2001,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2001,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2001,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","petroquimica","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",NA
2000,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
1999,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
1999,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
1999,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
1998,"YPF","upstream","Millones de pesos corrientes","prop_planta_equipo",NA
1998,"YPF","downstream","Millones de pesos corrientes","prop_planta_equipo",NA
1998,"YPF","adm_central","Millones de pesos corrientes","prop_planta_equipo",NA
2016,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",10334
2016,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",581
2016,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",791
2016,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1407
2016,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",106
2015,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",11312
2015,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1403
2015,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",571
2015,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",780
2015,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",108
