Report generated on: 09-17-2020 11:15:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-3-ARG-TBPD.A","                Crude oil including lease condensate (Mb/d)","0","0","0","0","0","0","0","0","0","0","4.838","4.272","1.432","4.673","8.544","13.655","14.65","18.239","23.974","18.766","26.432","27.719","10.514","4.799","6.246","4.205","1.444","3.215","1.661","0","0","0","4.42","6.15","9.519","16.53","16.18","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-4-ARG-TBPD.A","                Crude oil including lease condensate (Mb/d)","0","0","0","0","0","8.993","1.97","1.99","7.998","11.899","16.132","24.832","52.922","86.884","204.178","279.475","325.589","333.645","331.207","269.526","277.953","288.058","266.834","224.407","175.815","149.286","87.683","56.999","60.2","91.292","55.809","60.48","70.21","48.65","48.51","42.44","53.93","","","",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-6-ARG-BB.A","                Crude oil including lease condensate (billion b)","2.4","2.457","2.65","2.59","2.4287","2.266","2.3","2.27","2.27","2.268","2.2799","2.28","1.569987","1.569987","1.569987","2.216787","2.225895","2.386366","2.5882","2.621178","2.753416","3.071195","2.9737","2.87868","2.8205","2.6745","2.32045","2.468","2.58675","2.616","2.5203","2.50468","2.50468","2.805244","2.82","2.354204","2.379702","2.184554","2.162207","2.016761","2.388841"
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ARG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","8.2","12","11","14","13","7.6","9.4","13","11","6.1","11","13","13","14","9.7","11","11","11","10","13","14","33","35","28","36","40","47","52","47.7186301369863","","","","","",""
"INTL.65-13-ARG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","4.3","5.2","5.1","6.4","5.4","4.6","5.3","9.1","6.7","2.5","4.2","5.6","6.1","5.7","4.5","4.6","4.6","3.8","4","3.5","3.4","4.5","4.8","NA","NA","NA","NA","NA","NA","","","","","",""
"INTL.66-13-ARG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","3.9","6.4","5.5","7.9","7.2","3","4.1","3.6","4.7","3.6","6.8","7.5","7.3","8.3","5.2","6.3","6.5","7.4","6.4","9.7","11","12","13","13","18","22","28","29","25.6911780821918","","","","","",""
"INTL.5-8-ARG-MMTCD.A","    Emissions (MMtonnes CO2)","70.09574","68","66","67","65","58","67","69","66","60","57","58","59","67","61","59","64","67","71","73","70","64","58","63","63","69","71","68.16655185859841","78","80","98","96.03284994497102","100.31419542828901","100.94499542412532","101.02621607363832","118.285955","115.573158","111.051165","","",""
