Año;Mes;Producto;Datos;Total
;12;ADITIVOS PARA COMBUSTIBLES;Suma de M3;128
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;808679
;;AGUARRAS;Suma de M3;6
;;;Suma de Toneladas;5
;;;Suma de ValorFOB;5250
;;BASES LUBRICANTES;Suma de M3;4606
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1845007
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;4271
;;;Suma de ValorFOB;543991.9375
;;GAS OIL;Suma de M3;103700
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;14173198
;;METIL TERBUTIL ETER (MTBE);Suma de M3;12284
;;;Suma de Toneladas;9213
;;;Suma de ValorFOB;4783698.625
;;PETROLEO;Suma de M3;72464
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8551801
1995;1;ADITIVOS PARA COMBUSTIBLES;Suma de M3;89
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;616960
;;AERONAFTAS;Suma de M3;2183
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;573474
;;AGUARRAS;Suma de M3;247
;;;Suma de Toneladas;196
;;;Suma de ValorFOB;85708
;;GAS OIL;Suma de M3;17000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2358183
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;8896
;;;Suma de ValorFOB;3353008
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;14493
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2251252
;2;ADITIVOS LUBRICANTES;Suma de M3;54
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1345310
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;10501
;;;Suma de ValorFOB;2733200
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;18452
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2861294
;;PETROLEO;Suma de M3;74816
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;9132846
;;SOLVENTES ALIFATICOS;Suma de M3;16
;;;Suma de Toneladas;12
;;;Suma de ValorFOB;21380
;3;ADITIVOS LUBRICANTES;Suma de M3;151
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;493479
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;190
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;717828
;;BASES LUBRICANTES;Suma de M3;11357
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2949539
