"anio","variable","unidad","codigo_variable","valor","fuente"
1981,"Producción de petróleo crudo","barriles","Q_crudo_eia",181040000,"EIA"
1982,"Producción de petróleo crudo","barriles","Q_crudo_eia",179215000,"EIA"
1983,"Producción de petróleo crudo","barriles","Q_crudo_eia",179215000,"EIA"
1984,"Producción de petróleo crudo","barriles","Q_crudo_eia",174470000,"EIA"
1985,"Producción de petróleo crudo","barriles","Q_crudo_eia",167900000,"EIA"
1986,"Producción de petróleo crudo","barriles","Q_crudo_eia",158410000,"EIA"
1987,"Producción de petróleo crudo","barriles","Q_crudo_eia",156220000,"EIA"
1988,"Producción de petróleo crudo","barriles","Q_crudo_eia",163885000,"EIA"
1989,"Producción de petróleo crudo","barriles","Q_crudo_eia",167900000,"EIA"
1990,"Producción de petróleo crudo","barriles","Q_crudo_eia",176295000,"EIA"
1991,"Producción de petróleo crudo","barriles","Q_crudo_eia",177025000,"EIA"
1992,"Producción de petróleo crudo","barriles","Q_crudo_eia",201845000,"EIA"
1993,"Producción de petróleo crudo","barriles","Q_crudo_eia",216810168,"EIA"
1994,"Producción de petróleo crudo","barriles","Q_crudo_eia",237290000,"EIA"
1995,"Producción de petróleo crudo","barriles","Q_crudo_eia",260820000,"EIA"
1996,"Producción de petróleo crudo","barriles","Q_crudo_eia",275934016.393443,"EIA"
1997,"Producción de petróleo crudo","barriles","Q_crudo_eia",304290000,"EIA"
1998,"Producción de petróleo crudo","barriles","Q_crudo_eia",309040000,"EIA"
1999,"Producción de petróleo crudo","barriles","Q_crudo_eia",292815000,"EIA"
2000,"Producción de petróleo crudo","barriles","Q_crudo_eia",277816857.923497,"EIA"
2001,"Producción de petróleo crudo","barriles","Q_crudo_eia",292876000,"EIA"
2002,"Producción de petróleo crudo","barriles","Q_crudo_eia",291688655,"EIA"
2003,"Producción de petróleo crudo","barriles","Q_crudo_eia",285834055,"EIA"
2004,"Producción de petróleo crudo","barriles","Q_crudo_eia",267421265,"EIA"
2005,"Producción de petróleo crudo","barriles","Q_crudo_eia",256832160,"EIA"
2006,"Producción de petróleo crudo","barriles","Q_crudo_eia",254204945,"EIA"
2007,"Producción de petróleo crudo","barriles","Q_crudo_eia",247753341,"EIA"
2008,"Producción de petróleo crudo","barriles","Q_crudo_eia",241343561.762295,"EIA"
2009,"Producción de petróleo crudo","barriles","Q_crudo_eia",237681193,"EIA"
2010,"Producción de petróleo crudo","barriles","Q_crudo_eia",228510472,"EIA"
2011,"Producción de petróleo crudo","barriles","Q_crudo_eia",212222926,"EIA"
2012,"Producción de petróleo crudo","barriles","Q_crudo_eia",201158723.210383,"EIA"
2013,"Producción de petróleo crudo","barriles","Q_crudo_eia",197044731,"EIA"
2014,"Producción de petróleo crudo","barriles","Q_crudo_eia",194238283,"EIA"
2015,"Producción de petróleo crudo","barriles","Q_crudo_eia",194267150,"EIA"
2016,"Producción de petróleo crudo","barriles","Q_crudo_eia",186354439.89071,"EIA"
2017,"Producción de petróleo crudo","barriles","Q_crudo_eia",174997000,"EIA"
2018,"Producción de petróleo crudo","barriles","Q_crudo_eia",178587000,"EIA"
2019,"Producción de petróleo crudo","barriles","Q_crudo_eia",185143000,"EIA"
1913,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1914,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1915,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1916,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1917,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1918,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1919,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1920,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1921,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1922,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1923,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1924,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
1925,"Producción de gas natural","MMBTU","Q_gas_regalias",NA,"Sec. Energía - Regalías"
