refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2009,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",158180728.0,1528630788.0,1528630788.0,H3,natural_gas_hs
2010,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",297610604.0,1586827106.0,1586827106.0,H3,natural_gas_hs
2010,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",499006137.0,1273340230.0,1273340230.0,H3,natural_gas_hs
2011,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",564542514.0,2165650943.0,2165650943.0,H3,natural_gas_hs
2011,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1927429162.0,3027518002.0,3027518002.0,H3,natural_gas_hs
2012,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2695299748.0,3285693820.0,3285693820.0,H4,natural_gas_hs
2012,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1104451990.0,3103306199.0,3103306199.0,H4,natural_gas_hs
2013,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",3590317851.0,4237335592.0,4237335592.0,H4,natural_gas_hs
2013,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2531078717.0,4781641000.0,4781641000.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",3460365091.45,4266113300.0,4266113300.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2234024070.0,4491143000.0,4491143000.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1750670938.33,2106828700.0,2106828700.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",22301864.1,36112600.0,36112600.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",519521163.69,622993200.0,622993200.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",390839590.05,451569600.0,451569600.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2234024070.0,4491143000.0,4491143000.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",107211541.15,137781100.0,137781100.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",111465605.25,123526500.0,123526500.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",49524381.9,57028800.0,57028800.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",444779801.08,652869100.0,652869100.0,H4,natural_gas_hs
2014,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",64050205.9,77403700.0,77403700.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2169238424.02,3912748800.0,3912748800.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1367747361.0,4476138000.0,4476138000.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",18858342.24,36940600.0,36940600.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",938295214.7,1861451800.0,1861451800.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",502001156.15,739622600.0,739622600.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",72741692.13,120060900.0,120060900.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1367747361.0,4476138000.0,4476138000.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",71336223.39,116703000.0,116703000.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",15698106.0,35970600.0,35970600.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",282212879.92,493619800.0,493619800.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",60779815.71,93202200.0,93202200.0,H4,natural_gas_hs
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",145943097.66,308676100.0,308676100.0,H4,natural_gas_hs
