"anio","unidad","precio_externo_gas","us_wellhead_gas_price","us_import_gas_price","us_pipeline_import_price","us_lng_import_price","us_export_gas_price","us_export_gas_pipeline_price","us_export_lng_price","eia_henry_hub_spot","bp_lng_japan_cif","bp_lng_jkm","bp_gas_german_import_price","bp_gas_nbp","bp_gas_netherlands_ttf","bp_gas_henry_hub","bp_gas_canada","bp_oil_mix_mean_oecd","fmi_lng_asia","fmi_natural_gas_eu","fmi_henry_hub","precio_expo_bolivia_arg_ypfb","precio_expo_bolivia_bzl_ypfb","precio_impo_gas_arg_bolivia_comtrade","precio_expo_gas_bolivia_arg_comtrade","precio_expo_gas_comtrade","precio_expo_gas_regalias","precio_expo_gas_indec","precio_expo_gas_mecon","precio_impo_gas_bolivia_idee","precio_exportacion_gas_ar"
1961,"USD/MMBTU",NA,0.14591439688716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"USD/MMBTU",NA,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831886641072731,NA,NA,NA,NA,0.831886641072731
1963,"USD/MMBTU",NA,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90890180142247,NA,NA,NA,NA,0.90890180142247
1964,"USD/MMBTU",0.109260565207312,0.14591439688716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109260565207312,NA,1.05137100161271,NA,NA,NA,NA,1.05137100161271
1965,"USD/MMBTU",0.0897915844012997,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0897915844012997,NA,2.03761589109279,NA,NA,NA,NA,2.03761589109279
1966,"USD/MMBTU",0.0392818320093082,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126179056604175,0.0392818320093082,1.9575382803043,NA,NA,NA,NA,1.9575382803043
1967,"USD/MMBTU",0.0393255087677977,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125475855286079,0.0393255087677977,1.43603860597108,NA,NA,NA,NA,1.43603860597108
1968,"USD/MMBTU",NA,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44532735707379,NA,NA,NA,NA,1.44532735707379
1969,"USD/MMBTU",NA,0.165369649805447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1209250074223,NA,NA,NA,NA,2.1209250074223
1970,"USD/MMBTU",NA,0.165369649805447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3086650506703,NA,NA,NA,0.0225426619878119,21.3086650506703
