anio,variable,codigo_variable,unidad,valor,fuente
1973.0,Pi_gas,Pi_gas,ars/MMBTU,7.076814104869961e-12,MECON/Regalias/IDEE
1974.0,Pi_gas,Pi_gas,ars/MMBTU,7.58637731630426e-12,MECON/Regalias/IDEE
1975.0,Pi_gas,Pi_gas,ars/MMBTU,9.534994213356604e-12,MECON/Regalias/IDEE
1976.0,Pi_gas,Pi_gas,ars/MMBTU,9.633282055916879e-11,MECON/Regalias/IDEE
1977.0,Pi_gas,Pi_gas,ars/MMBTU,1.1403411450540214e-09,MECON/Regalias/IDEE
1978.0,Pi_gas,Pi_gas,ars/MMBTU,5.240930316793441e-09,MECON/Regalias/IDEE
1979.0,Pi_gas,Pi_gas,ars/MMBTU,1.0822136669311824e-08,MECON/Regalias/IDEE
1980.0,Pi_gas,Pi_gas,ars/MMBTU,1.937811247396485e-08,MECON/Regalias/IDEE
1981.0,Pi_gas,Pi_gas,ars/MMBTU,4.517716473111681e-08,MECON/Regalias/IDEE
1982.0,Pi_gas,Pi_gas,ars/MMBTU,1.0173618471200714e-07,MECON/Regalias/IDEE
1983.0,Pi_gas,Pi_gas,ars/MMBTU,7.001850420779457e-07,MECON/Regalias/IDEE
1984.0,Pi_gas,Pi_gas,ars/MMBTU,5.050027852953153e-06,MECON/Regalias/IDEE
1985.0,Pi_gas,Pi_gas,ars/MMBTU,4.384509344124346e-05,MECON/Regalias/IDEE
1986.0,Pi_gas,Pi_gas,ars/MMBTU,7.111625094259567e-05,MECON/Regalias/IDEE
1987.0,Pi_gas,Pi_gas,ars/MMBTU,0.00013274476713427908,MECON/Regalias/IDEE
1988.0,Pi_gas,Pi_gas,ars/MMBTU,0.0008887448746814265,MECON/Regalias/IDEE
1993.0,Pi_gas,Pi_gas,ars/MMBTU,1.0057137586306302,MECON/Regalias/IDEE
1994.0,Pi_gas,Pi_gas,ars/MMBTU,1.1097492868988417,MECON/Regalias/IDEE
1995.0,Pi_gas,Pi_gas,ars/MMBTU,1.1784209683566877,MECON/Regalias/IDEE
1996.0,Pi_gas,Pi_gas,ars/MMBTU,1.2213861593776953,MECON/Regalias/IDEE
1997.0,Pi_gas,Pi_gas,ars/MMBTU,1.2188698091062005,MECON/Regalias/IDEE
1998.0,Pi_gas,Pi_gas,ars/MMBTU,1.2190291086172733,MECON/Regalias/IDEE
1999.0,Pi_gas,Pi_gas,ars/MMBTU,1.2028564683663836,MECON/Regalias/IDEE
2000.0,Pi_gas,Pi_gas,ars/MMBTU,1.2689565627950896,MECON/Regalias/IDEE
2001.0,Pi_gas,Pi_gas,ars/MMBTU,1.3406515580736544,MECON/Regalias/IDEE
2002.0,Pi_gas,Pi_gas,ars/MMBTU,1.5479225684608122,MECON/Regalias/IDEE
2003.0,Pi_gas,Pi_gas,ars/MMBTU,1.5888101983002834,MECON/Regalias/IDEE
2004.0,Pi_gas,Pi_gas,ars/MMBTU,2.2634796978281395,MECON/Regalias/IDEE
2005.0,Pi_gas,Pi_gas,ars/MMBTU,3.056397544853636,MECON/Regalias/IDEE
2006.0,Pi_gas,Pi_gas,ars/MMBTU,3.9669735599622284,MECON/Regalias/IDEE
2007.0,Pi_gas,Pi_gas,ars/MMBTU,4.676581680830973,MECON/Regalias/IDEE
2008.0,Pi_gas,Pi_gas,ars/MMBTU,5.5510623229461755,MECON/Regalias/IDEE
2009.0,Pi_gas,Pi_gas,ars/MMBTU,6.7493389990557136,MECON/Regalias/IDEE
2010.0,Pi_gas,Pi_gas,ars/MMBTU,7.920066100094429,MECON/Regalias/IDEE
2011.0,Pi_gas,Pi_gas,ars/MMBTU,8.690627950897072,MECON/Regalias/IDEE
2012.0,Pi_gas,Pi_gas,ars/MMBTU,8.614966949952787,MECON/Regalias/IDEE
2013.0,Pi_gas,Pi_gas,ars/MMBTU,10.272521246458926,MECON/Regalias/IDEE
2014.0,Pi_gas,Pi_gas,ars/MMBTU,18.582507082152976,MECON/Regalias/IDEE
2015.0,Pi_gas,Pi_gas,ars/MMBTU,20.2755193578848,MECON/Regalias/IDEE
2016.0,Pi_gas,Pi_gas,ars/MMBTU,49.82511803588291,MECON/Regalias/IDEE
2017.0,Pi_gas,Pi_gas,ars/MMBTU,65.35422568460812,MECON/Regalias/IDEE
2018.0,Pi_gas,Pi_gas,ars/MMBTU,127.37474032105762,MECON/Regalias/IDEE
2019.0,Pi_gas,Pi_gas,ars/MMBTU,163.81576959395656,MECON/Regalias/IDEE
2020.0,Pi_gas,Pi_gas,ars/MMBTU,168.02367799811142,MECON/Regalias/IDEE
2021.0,Pi_gas,Pi_gas,ars/MMBTU,211.82124645892353,MECON/Regalias/IDEE
2022.0,Pi_gas,Pi_gas,ars/MMBTU,453.9387677640109,MECON/Regalias/IDEE
2023.0,Pi_gas,Pi_gas,ars/MMBTU,1060.2802318838267,MECON/Regalias/IDEE
2024.0,Pi_gas,Pi_gas,ars/MMBTU,3027.562684368754,MECON/Regalias/IDEE
2025.0,Pi_gas,Pi_gas,ars/MMBTU,4131.202928466596,MECON/Regalias/IDEE
1962.0,Q_crudo_expo,Q_crudo_expo,barriles,1600164.59776432,SESCO/Comtrade
1963.0,Q_crudo_expo,Q_crudo_expo,barriles,640739.01985856,SESCO/Comtrade
1964.0,Q_crudo_expo,Q_crudo_expo,barriles,101996.187941,SESCO/Comtrade
1966.0,Q_crudo_expo,Q_crudo_expo,barriles,19421.3608275,SESCO/Comtrade
1967.0,Q_crudo_expo,Q_crudo_expo,barriles,58111.59861867,SESCO/Comtrade
1968.0,Q_crudo_expo,Q_crudo_expo,barriles,1182294.78060432,SESCO/Comtrade
1969.0,Q_crudo_expo,Q_crudo_expo,barriles,381429.802925,SESCO/Comtrade
1974.0,Q_crudo_expo,Q_crudo_expo,barriles,220506.44815168,SESCO/Comtrade
