anio,prod_crudo,unidad,prod_gas,produccion_total_bep
1946.0,130830158.42027998,BEP,3421264.969456,134251423.38973597
1947.0,137397381.37091997,BEP,3543018.171216,140940399.54213598
1948.0,146061368.27567998,BEP,3683034.3532399996,149744402.62892
1949.0,142065648.28763998,BEP,4096995.239224,146162643.52686396
1950.0,147564708.4692,BEP,4590095.706352,152154804.17555198
1951.0,153878737.28198397,BEP,5046670.212952,158925407.49493596
1952.0,156110010.62183997,BEP,5460631.098936,161570641.72077596
1953.0,179269361.918856,BEP,5667611.541928,184936973.460784
1954.0,186002743.52246398,BEP,5971994.546328,191974738.068792
1955.0,191865770.277192,BEP,6440744.3731039995,198306514.650296
1956.0,195058390.10921997,BEP,6982546.120936,202040936.23015597
1957.0,213549474.48951596,BEP,8607951.364432,222157425.85394797
1958.0,224270663.764356,BEP,10062902.125464,234333565.88981998
1959.0,280388770.7250959,BEP,13100644.509375999,293489415.2344719
1960.0,401665439.5850606,BEP,21757297.154512,423422736.7395726
1961.0,531246638.7971978,BEP,29878235.711903997,561124874.5091019
1962.0,617695544.0786368,BEP,37579125.723224,655274669.8018608
1963.0,610995077.71295,BEP,36197226.883248,647192304.596198
1964.0,630714272.3465997,BEP,39782858.67508,670497131.0216796
1965.0,618138436.0119644,BEP,37962648.308768,656101084.3207325
1966.0,658917409.1160433,BEP,36294629.444656,695212038.5606993
1967.0,721272201.9927691,BEP,39374985.449184,760647187.4419532
1968.0,789295497.3154982,BEP,42942354.260752,832237851.5762502
1969.0,818186847.4009018,BEP,42656234.236616,860843081.6375178
1970.0,901942360.4793134,BEP,46655826.914432,948598187.3937454
1971.0,971840479.2696981,BEP,49413536.934296,1021254016.2039942
1972.0,996692908.11729,BEP,50624981.291807994,1047317889.409098
1973.0,966921985.3339252,BEP,54265402.024431996,1021187387.3583572
1974.0,950358816.0670664,BEP,57388371.64957599,1007747187.7166424
1975.0,908659324.0255449,BEP,62550707.404199995,971210031.4297448
1976.0,915750302.7872903,BEP,67159066.09081599,982909368.8781064
1977.0,990912209.0189492,BEP,71000379.606344,1061912588.6252931
1978.0,1038684641.580115,BEP,70032441.65235199,1108717083.232467
1979.0,1085329133.8187165,BEP,78013364.02771999,1163342497.8464365
1980.0,1130124280.249784,BEP,81976430.74500799,1212100710.994792
1981.0,1141445420.9465907,BEP,82968719.339352,1224414140.2859426
1982.0,1126322412.02354,BEP,94498747.546024,1220821159.569564
1983.0,1126480974.8523724,BEP,104592087.971928,1231073062.8243003
1984.0,1101322932.7680717,BEP,114228853.891232,1215551786.6593037
1985.0,1055307667.5236263,BEP,116353447.261944,1171661114.7855704
1986.0,996118988.2176218,BEP,117163106.053648,1113282094.2712698
1987.0,983387753.9808774,BEP,116688268.566784,1100076022.5476613
1988.0,1033454600.1700271,BEP,138396864.440592,1171851464.610619
1989.0,1056819829.9503872,BEP,147363987.75021598,1204183817.7006032
1990.0,1107884023.6731853,BEP,140125759.90558398,1248009783.5787692
1991.0,1132273107.2485006,BEP,150018207.54858398,1282291314.7970846
1992.0,1275706953.3585799,BEP,152453271.58378398,1428160224.9423637
1993.0,1362789556.0931716,BEP,155646594.28763717,1518436150.3808088
1994.0,1532317906.5433626,BEP,161787180.89909792,1694105087.4424605
1995.0,1651274011.568293,BEP,177701691.96805635,1828975703.5363495
1996.0,1802805876.5618563,BEP,203163981.69801039,2005969858.2598667
1997.0,1914897690.70159,BEP,225693807.77198973,2140591498.47358
1998.0,1944359083.6514258,BEP,235167702.82493958,2179526786.4763656
1999.0,1767084021.1840262,BEP,247974898.24287987,2015058919.426906
2000.0,1712572154.0968945,BEP,275128569.9242944,1987700724.021189
2001.0,1765118918.1815915,BEP,292986853.2909729,2058105771.4725645
2002.0,1739150259.240311,BEP,283186457.8854652,2022336717.125776
2003.0,1699449101.931818,BEP,310515266.9349914,2009964368.8668094
2004.0,1599591470.2869499,BEP,317803418.79912066,1917394889.0860705
2005.0,1525987815.7274585,BEP,312474060.58146244,1838461876.3089209
2006.0,1517041715.1669092,BEP,314518351.94938207,1831560067.1162913
2007.0,1499564712.8703105,BEP,310423805.51647717,1809988518.3867877
2008.0,1487236492.4901817,BEP,306266972.796119,1793503465.2863007
2009.0,1433709471.4761415,BEP,294759932.29767287,1728469403.7738142
2010.0,1401010833.2274804,BEP,286774957.4114242,1687785790.6389046
2011.0,1318440387.3989873,BEP,277156271.05544704,1595596658.4544344
2012.0,1311051865.9636765,BEP,268610051.74632734,1579661917.7100039
2013.0,1284212179.6265874,BEP,253905905.3810591,1538118085.0076466
2014.0,1265171228.7897196,BEP,252540644.33525938,1517711873.124979
2015.0,1264912535.591682,BEP,261194298.4285408,1526106834.0202227
2016.0,1120759119.064665,BEP,273871261.15089846,1394630380.2155635
2017.0,1046468120.6301903,BEP,271856575.592858,1318324696.2230482
2018.0,1066410228.6210859,BEP,286251032.9321481,1352661261.553234
2019.0,1101859014.6513634,BEP,300432327.41088504,1402291342.0622485
2020.0,1035967760.7389022,BEP,274559674.48517597,1310527435.2240782
2021.0,1095135140.2937799,BEP,275808497.48045766,1370943637.7742376
2022.0,1251698182.2693045,BEP,295187653.00547945,1546885835.274784
2023.0,1369703245.8272107,BEP,292971071.8162854,1662674317.643496
2024.0,1495826812.1055744,BEP,308874457.7740953,1804701269.8796697
2025.0,1678407061.7125618,BEP,314079533.49811167,1992486595.2106736
