"","fecha","empresa","sector","moneda","gcia_ant","KTA","tg_ant","tg_desp","activo","activo_no_corr","costos","ctas_cobrar_corr","ctas_cobrar_nocorr","disponibilidades","equity","gcia_desp","gcia_op_discont","gcia_operativa","impuesto_gcia","inventarios","long_term_debt","obras_en_curso","ON_nopesos_corr","ON_nopesos_nocorr","ON_pesos_corr","ON_pesos_nocorr","pasivo","pasivo total","ppye","prestamos_corr","prestamos_financieros_pesos_corr","prestamos_financieros_pesos_nocorr","prestamos_nocorr","regalias_otros","solvencia_ratio","sueldos_y_cargas","terrenos","ventas","rotacion","ppye_neta"
"26",2000-12-31,"petrobras_ar","integrada","MM_pesos",666,6945.84853775644,0.0958846131440584,0.089981806629184,11986,9649,2291,0,0,33,0,618,0,1159,-41,371,0,0,0,0,0,0,0,0,6524,0,0,0,0,247,0,314,0,3374,6.17520215633423,6524
"27",2000-12-31,"petrobras_glob","integrada","MM_usd",7803,22523.7581976355,0.346434193243077,0.234419138834224,0,0,13449,0,0,0,0,5342,0,0,-2523,3087,0,0,0,0,0,0,0,0,19237,0,0,0,0,0,0,1441,131,35496,4.35665694849368,19106
"28",2000-12-31,"tecpetrol","produccion","MM_pesos",48.739,199.602845955833,0.244179885144447,0.164196055637664,0,423.647,103.334,0,0,0,0,32.774,0,0,-15.965,5.187,0,19.268,0,0,0,0,0,0,212.88,0,0,0,0,25.358,0,16.014,0,176.559,19.9217273954116,193.612
"29",2000-12-31,"TGN","transporte","MM_pesos",56.221,1165.271,0.0482471459428751,0.0482471459428751,0,1253.442,99.559,0,0,0,0,39.421,0,0,0,0,0,57.459,0,0,0,0,0,0,1224.185,0,0,0,0,0,0,28.16,1.455,252.777,Inf,1165.271
"30",2000-12-31,"TGS","transporte","MM_pesos",196.238,1833.032,0.107056505287415,0.107056505287415,0,2016.281,157.886,0,0,0,0,126.263,0,0,0,0,0,58.034,0,0,0,0,0,0,1937.539,0,0,0,0,0,0,0,46.473,480.424,Inf,1833.032
"31",2000-12-31,"YPF","integrada","MM_pesos",2057,6814.54776859504,0.301854219803069,0.180349458501688,0,10736,3025,821,246,0,0,1229,0,0,-828,307,0,459,0,0,333,1238,0,4300,7443,579,3,0,1291,531,1.698,301,507,6219,9.85342019543974,6477
"32",2001-12-31,"camuzzi_pamp","distribución","MM_pesos",18.329085,467.995995,0.0391650467008804,0.0284071875444148,611.224119,534.651591,252.519237,0,0,4.924533,0,13.29445,0,0,-5.034635,0,0,35.532687,0,0,0,0,0,0,508.226807,0,0,0,0,0,0,28.400855,4.698125,322.627362,Inf,467.995995
"33",2001-12-31,"chevron","integrada","MM_usd",8291,46181,0.179532708256642,0.0851215867997661,77572,0,97954,0,0,0,33958,3931,0,0,-4360,2948,8704,0,0,0,0,0,43614,0,43233,0,0,0,0,0,0.77860320080708,0,0,106245,33.2272727272727,43233
"34",2001-12-31,"metrogas","distribución","MM_pesos",-139.466,846.854510520799,-0.164687084106373,-0.164687084106373,0,964.827,473.158,0,0,0,0,-91.565,0,0,0,0.691,0,53.908,0,0,0,0,0,0,907.707,0,0,0,0,0,0,36.641,7.689,657.681,684.743849493488,846.11
"35",2001-12-31,"PAE","produccion","MM_pesos",158,3813.43373493976,0.0414324755540812,0.0228140846405384,0,1408,332,0,0,0,0,87,0,0,-71,30,0,82,0,0,0,0,0,0,3876,0,0,0,0,0,0,38,14,587,11.0666666666667,3780
"36",2001-12-31,"petrobras_ar","integrada","MM_pesos",364,8134.16901408451,0.0447495004553908,0.0283987214428441,13514,10672,2414,0,0,89,0,222,0,1130,-133,340,0,0,0,0,0,0,0,0,7746,0,0,0,0,262,0,342,0,3557,7.1,7746
"37",2001-12-31,"petrobras_glob","integrada","MM_usd",4792,21665.022487702,0.221186015510491,0.157073458009641,0,22538,12807,0,0,0,0,3491,0,0,-1389,2399,0,0,0,0,0,0,0,0,19179,0,0,0,0,0,0,1260,149,34145,5.33847436431847,19030
"38",2001-12-31,"tecpetrol","produccion","MM_pesos",86.033,228.396436734809,0.376682759284432,0.247433807671953,0,466.949,106.591,0,0,0,0,56.512,0,0,-29.52,7.629,0,12.116,0,0,0,0,0,0,236.268,0,0,0,0,24.005,0,18.896,4.737,210.095,13.9718180626557,219.415
"39",2001-12-31,"TGN","transporte","MM_pesos",46.295,1173.328,0.0394561452552057,0.0394561452552057,0,1225.212,96.829,0,0,0,0,27.18,0,0,0,0,0,22.158,0,0,0,0,0,0,1196.941,0,0,0,0,0,0,22.3,1.455,252.981,Inf,1173.328
"40",2001-12-31,"TGS","transporte","MM_pesos",170.191,2019.597,0.0842697825358227,0.0842697825358227,0,2118.92,194.176,0,0,0,0,108.438,0,0,0,0,0,28.024,0,0,0,0,0,0,2050.494,0,0,0,0,0,0,32.074,2.873,541.65,Inf,2019.597
"41",2001-12-31,"YPF","integrada","MM_pesos",1526,7764.54806902219,0.196534297480648,0.105608207034162,0,10877,4868,1051,166,0,0,819,0,0,-706,274,0,584,0,0,91,981,0,4701,8739,1097,276,125,1151,486,1.805,294,681,8162,17.7664233576642,7474
"42",2002-12-31,"camuzzi_pamp","distribución","MM_pesos",-132.461726,1021.007016,-0.129736352369982,-0.129736352369982,1202.082912,1078.980595,310.760269,0,0,43.145806,0,-131.024792,0,0,0,0,0,20.985893,0,0,0,0,0,0,1052.262685,0,0,0,0,0,0,39.358449,10.269776,360.74137,Inf,1021.007016
"43",2002-12-31,"chevron","integrada","MM_usd",4156,46918,0.0885800758770621,0.024127200647939,77359,0,94893,0,0,0,31604,1132,0,0,-3024,2763,10666,0,0,0,0,0,45755,0,44155,0,0,0,0,0,0.690722325428915,0,0,99049,34.3441910966341,44155
"44",2002-12-31,"metrogas","distribución","MM_pesos",-685.49,1826.595,-0.375282971868422,-0.375282971868422,0,2096.934,571.125,0,0,0,0,-489.433,0,0,0,0,0,39.514,0,0,0,0,0,0,1883.481,0,0,0,0,0,0,47.092,17.372,719.292,Inf,1826.595
"45",2002-12-31,"PAE","produccion","MM_pesos",333,4114.98128898129,0.0809238187526335,0.0493319375579117,0,4433,962,0,0,0,0,154,0,0,-130,120,0,129,0,0,0,0,0,0,4130,0,0,0,0,0,0,72,15,2167,8.01666666666667,3986
"46",2002-12-31,"petrobras_ar","integrada","MM_pesos",-1123,9212.89688164422,-0.121894341641603,-0.129058212120985,13657,10785,2822,0,0,88,0,-1193,0,1300,-66,353,0,0,0,0,0,0,0,0,8829,0,0,0,0,345,0,247,0,4521,7.9943342776204,8829
"47",2002-12-31,"petrobras_glob","integrada","MM_usd",3232,15971.0392838519,0.202366292046369,0.130173119172154,0,21821,11506,0,0,0,0,2311,0,0,-1153,2540,0,4916,0,0,0,0,0,0,18224,0,0,0,0,0,0,1033,105,32987,4.52992125984252,13203
