indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
2000-07-01,4290.046934809999,3223.376,1297.07,145.406,44.579,801.668,734.14,55.37,145.143,762.653,455.091,191.756,194.554,289.003,5.228,6.419,262.948,507.727,547.997
2000-08-01,5296.385512850003,3159.132,1005.989,125.063,43.749,907.998,882.422,44.759,149.152,721.04,392.187,184.525,182.028,288.53,4.221,5.462,291.786,528.487,560.865
2000-09-01,3875.9973479600017,2797.686,782.551,102.919,34.631,861.937,835.34,35.458,144.85,683.112,328.789,149.13,163.031,257.452,4.154,4.352,256.89,447.435,503.341
2000-10-01,3491.7404144100005,2403.368,473.52,76.347,26.76,898.068,755.468,22.169,151.036,502.475,262.144,128.54,153.489,269.649,4.042,3.368,249.103,445.606,384.952
2000-11-01,3157.451845749999,2062.55,331.82,63.71,21.284,829.015,653.506,17.043,146.172,422.163,228.245,110.041,122.322,251.225,3.883,3.06,210.928,401.24,309.442
2000-12-01,2807.0411721800006,2321.248,250.345,57.82,17.734,814.656,1014.449,14.744,151.5,580.682,213.359,143.566,137.316,267.137,3.451,2.879,235.947,440.144,296.767
2001-01-01,3470.20277186,2029.423,216.529,49.646,14.839,766.806,821.863,14.015,145.725,487.704,176.255,118.532,117.642,228.187,3.838,2.517,202.645,421.673,270.429
2001-02-01,3145.115903740001,1950.246,190.299,49.977,14.86,713.657,834.284,14.748,132.421,460.542,169.616,108.123,113.827,207.711,3.869,2.331,180.012,432.622,271.593
2001-03-01,4926.3552493399975,2366.818,281.877,64.813,19.59,840.237,990.633,18.164,151.505,602.499,223.792,129.087,149.415,243.898,5.0,2.781,192.887,486.813,330.646
2001-04-01,4759.473549160001,2341.266,424.32,79.999,25.898,834.467,801.684,23.875,151.023,553.184,245.538,125.015,142.802,239.596,5.133,3.15,186.955,472.976,366.917
2001-05-01,4363.13298402,2899.885,858.143,117.212,39.211,847.35,838.22,40.842,158.907,711.007,353.797,165.672,180.255,272.408,5.872,4.84,233.935,499.547,472.552
2001-06-01,4157.500648119999,2803.303,970.205,124.876,47.391,784.406,676.871,44.82,154.734,658.239,373.254,163.069,176.285,266.278,5.597,5.166,244.291,483.762,427.362
2001-07-01,4418.05462557,2980.534,1168.209,132.234,48.347,813.424,604.697,50.563,163.06,693.017,409.319,169.124,190.921,283.73,6.93,5.126,252.409,545.107,424.851
2001-08-01,4078.629994290001,2658.716,829.858,107.606,42.641,868.334,608.247,39.81,162.22,554.279,334.708,151.122,169.862,255.122,6.471,4.315,248.838,533.59,400.349
2001-09-01,4022.771432859999,2594.805,741.434,93.978,36.312,833.169,700.031,33.747,156.134,617.122,311.843,149.794,160.659,207.646,6.075,4.31,249.687,502.963,386.872
2001-10-01,3667.344690174209,2051.054,468.32,74.519,26.669,820.862,474.871,22.875,162.938,404.96,262.597,105.676,128.55,221.222,5.412,3.275,219.019,430.622,269.721
2001-11-01,3471.8222462700005,2021.501,312.915,58.932,19.666,780.546,677.708,16.506,155.228,491.176,221.733,105.607,116.474,205.531,5.065,3.037,220.63,360.951,284.189
2001-12-01,3546.669457039999,2089.408,255.1,54.477,16.43,723.354,868.842,14.535,156.67,612.318,196.889,107.289,93.575,204.74,4.661,2.55,222.892,378.995,265.134
2002-01-01,3569.95847994,2021.294,209.225,45.167,13.671,645.155,945.138,15.05,147.888,593.003,168.244,97.806,114.839,191.619,4.419,2.3,231.626,336.176,281.262
2002-02-01,3312.1815205199987,1862.896,207.053,47.352,14.31,710.104,732.071,16.091,135.915,478.908,172.958,77.427,115.889,179.889,5.534,2.46,210.749,361.19,257.892
2002-03-01,3706.9817382300007,2176.097,297.416,58.444,18.502,823.503,803.576,20.605,154.051,506.421,213.163,104.227,129.963,217.139,4.579,2.703,240.311,409.998,347.593
2002-04-01,3695.237011069998,2320.726,460.113,78.207,26.044,866.256,706.559,25.842,157.705,518.352,254.9,111.315,134.448,246.237,6.397,3.418,246.363,422.249,377.047
2002-05-01,4136.959333597999,2645.684,654.871,93.709,34.246,917.104,743.803,37.046,164.905,576.821,292.241,162.693,159.354,264.444,8.136,4.028,233.217,495.508,449.242
