anio,sector,unidad,variable,valor,fuente
2005,servicios_petroleros,Millones de pesos 2018,activo,62429.82102499379,AFIP (combinada)
2006,servicios_petroleros,Millones de pesos 2018,activo,81199.68465502824,AFIP (combinada)
2007,servicios_petroleros,Millones de pesos 2018,activo,87659.12281234202,AFIP (combinada)
2008,servicios_petroleros,Millones de pesos 2018,activo,79703.54854496068,AFIP (combinada)
2009,servicios_petroleros,Millones de pesos 2018,activo,76441.92187788789,AFIP (combinada)
2010,servicios_petroleros,Millones de pesos 2018,activo,68374.55354696595,AFIP (combinada)
2011,servicios_petroleros,Millones de pesos 2018,activo,69333.55889808478,AFIP (combinada)
2012,servicios_petroleros,Millones de pesos 2018,activo,86673.03660546867,AFIP (combinada)
2013,servicios_petroleros,Millones de pesos 2018,activo,90476.71490723098,AFIP (combinada)
2014,servicios_petroleros,Millones de pesos 2018,activo,111098.70825943351,AFIP (combinada)
2015,servicios_petroleros,Millones de pesos 2018,activo,127322.25253441534,AFIP (combinada)
2016,servicios_petroleros,Millones de pesos 2018,activo,100968.53447786377,AFIP (combinada)
2017,servicios_petroleros,Millones de pesos 2018,activo,101545.24186056237,AFIP (combinada)
2018,servicios_petroleros,Millones de pesos 2018,activo,168380.35332721,AFIP (combinada)
2019,servicios_petroleros,Millones de pesos 2018,activo,185583.0544909629,AFIP (combinada)
2020,servicios_petroleros,Millones de pesos 2018,activo,156545.0270177582,AFIP (combinada)
2021,servicios_petroleros,Millones de pesos 2018,activo,155347.9169234333,AFIP (combinada)
2022,servicios_petroleros,Millones de pesos 2018,activo,174991.686848381,AFIP (combinada)
2001,servicios_petroleros,Millones de pesos 2018,ppye,16125.748808427366,AFIP (combinada)
2002,servicios_petroleros,Millones de pesos 2018,ppye,32712.16037340813,AFIP (combinada)
2003,servicios_petroleros,Millones de pesos 2018,ppye,30630.1572948419,AFIP (combinada)
2004,servicios_petroleros,Millones de pesos 2018,ppye,36517.4788329995,AFIP (combinada)
2005,servicios_petroleros,Millones de pesos 2018,ppye,35156.79861361069,AFIP (combinada)
2006,servicios_petroleros,Millones de pesos 2018,ppye,30982.74584819885,AFIP (combinada)
2007,servicios_petroleros,Millones de pesos 2018,ppye,38536.61121457721,AFIP (combinada)
2008,servicios_petroleros,Millones de pesos 2018,ppye,31277.721428652556,AFIP (combinada)
2009,servicios_petroleros,Millones de pesos 2018,ppye,32225.714038608126,AFIP (combinada)
2010,servicios_petroleros,Millones de pesos 2018,ppye,23988.175341933118,AFIP (combinada)
2011,servicios_petroleros,Millones de pesos 2018,ppye,23064.069841246685,AFIP (combinada)
2012,servicios_petroleros,Millones de pesos 2018,ppye,23796.631766645212,AFIP (combinada)
2013,servicios_petroleros,Millones de pesos 2018,ppye,25257.433095255077,AFIP (combinada)
2014,servicios_petroleros,Millones de pesos 2018,ppye,30398.294919049582,AFIP (combinada)
2015,servicios_petroleros,Millones de pesos 2018,ppye,36724.32330956436,AFIP (combinada)
2016,servicios_petroleros,Millones de pesos 2018,ppye,30877.867492464964,AFIP (combinada)
2017,servicios_petroleros,Millones de pesos 2018,ppye,26516.913083939737,AFIP (combinada)
2018,servicios_petroleros,Millones de pesos 2018,ppye,55056.34624858,AFIP (combinada)
2019,servicios_petroleros,Millones de pesos 2018,ppye,67886.7575996429,AFIP (combinada)
2020,servicios_petroleros,Millones de pesos 2018,ppye,54373.51877273335,AFIP (combinada)
2021,servicios_petroleros,Millones de pesos 2018,ppye,53345.7577116237,AFIP (combinada)
2022,servicios_petroleros,Millones de pesos 2018,ppye,58007.309805577665,AFIP (combinada)
