anio,sector,variable,unidad,valor,fuente,variable_sector
2010,adm_central,activo,Millones de pesos 2018,47343.679334979075,Activo de YPF y Petrobras,activo adm_central
2010,adm_central,prop_planta_equipo,Millones de pesos 2018,751.71424923224,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2010,downstream,activo,Millones de pesos 2018,122973.29199106844,Activo de YPF y Petrobras,activo downstream
2010,downstream,prop_planta_equipo,Millones de pesos 2018,7832.1465586673385,Activo de YPF y Petrobras,prop_planta_equipo downstream
2010,gas_y_energia,activo,Millones de pesos 2018,49469.956782807414,Activo de YPF y Petrobras,activo gas_y_energia
2010,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,31643.590301014294,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2010,petroquimica,activo,Millones de pesos 2018,33941.68814866714,Activo de YPF y Petrobras,activo petroquimica
2010,petroquimica,prop_planta_equipo,Millones de pesos 2018,6264.285410268667,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2010,upstream,activo,Millones de pesos 2018,250635.84906068086,Activo de YPF y Petrobras,activo upstream
2010,upstream,prop_planta_equipo,Millones de pesos 2018,30748.692385261627,Activo de YPF y Petrobras,prop_planta_equipo upstream
2011,adm_central,activo,Millones de pesos 2018,22907.928292160675,Activo de YPF y Petrobras,activo adm_central
2011,adm_central,prop_planta_equipo,Millones de pesos 2018,554.9233197192593,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2011,downstream,activo,Millones de pesos 2018,135545.80129267616,Activo de YPF y Petrobras,activo downstream
2011,downstream,prop_planta_equipo,Millones de pesos 2018,6722.6648003489445,Activo de YPF y Petrobras,prop_planta_equipo downstream
2011,gas_y_energia,activo,Millones de pesos 2018,43295.57984059638,Activo de YPF y Petrobras,activo gas_y_energia
2011,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,26624.758444030296,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2011,petroquimica,activo,Millones de pesos 2018,27653.678766009758,Activo de YPF y Petrobras,activo petroquimica
2011,petroquimica,prop_planta_equipo,Millones de pesos 2018,1566.5022879574926,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2011,upstream,activo,Millones de pesos 2018,227668.85281732032,Activo de YPF y Petrobras,activo upstream
2011,upstream,prop_planta_equipo,Millones de pesos 2018,26532.27122407709,Activo de YPF y Petrobras,prop_planta_equipo upstream
2012,adm_central,activo,Millones de pesos 2018,42361.74468321656,Activo de YPF y Petrobras,activo adm_central
2012,adm_central,prop_planta_equipo,Millones de pesos 2018,448.81663056933996,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2012,downstream,activo,Millones de pesos 2018,130259.67667628072,Activo de YPF y Petrobras,activo downstream
2012,downstream,prop_planta_equipo,Millones de pesos 2018,5591.50718917636,Activo de YPF y Petrobras,prop_planta_equipo downstream
2012,gas_y_energia,activo,Millones de pesos 2018,13529.95134237156,Activo de YPF y Petrobras,activo gas_y_energia
2012,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,3422.226808091217,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2012,petroquimica,activo,Millones de pesos 2018,27377.814464729738,Activo de YPF y Petrobras,activo petroquimica
2012,petroquimica,prop_planta_equipo,Millones de pesos 2018,1818.6423884528463,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2012,upstream,activo,Millones de pesos 2018,252861.4195934721,Activo de YPF y Petrobras,activo upstream
2012,upstream,prop_planta_equipo,Millones de pesos 2018,28364.276017335265,Activo de YPF y Petrobras,prop_planta_equipo upstream
2013,adm_central,activo,Millones de pesos 2018,57183.838527922395,Activo de YPF y Petrobras,activo adm_central
2013,adm_central,prop_planta_equipo,Millones de pesos 2018,397.3162806810193,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2013,downstream,activo,Millones de pesos 2018,202653.5825649281,Activo de YPF y Petrobras,activo downstream
2013,downstream,prop_planta_equipo,Millones de pesos 2018,4504.155593140901,Activo de YPF y Petrobras,prop_planta_equipo downstream
2013,gas_y_energia,activo,Millones de pesos 2018,10185.407083252672,Activo de YPF y Petrobras,activo gas_y_energia
2013,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,2380.1844478180687,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2013,petroquimica,activo,Millones de pesos 2018,5532.722039389894,Activo de YPF y Petrobras,activo petroquimica
2013,petroquimica,prop_planta_equipo,Millones de pesos 2018,1700.6622107654844,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2013,upstream,activo,Millones de pesos 2018,311633.35379583685,Activo de YPF y Petrobras,activo upstream
2013,upstream,prop_planta_equipo,Millones de pesos 2018,26382.54368447329,Activo de YPF y Petrobras,prop_planta_equipo upstream
2014,adm_central,activo,Millones de pesos 2018,44326.452112523526,Activo de YPF y Petrobras,activo adm_central
2014,adm_central,prop_planta_equipo,Millones de pesos 2018,278.45537345388465,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2014,downstream,activo,Millones de pesos 2018,187811.6434279757,Activo de YPF y Petrobras,activo downstream
2014,downstream,prop_planta_equipo,Millones de pesos 2018,3289.4167480907495,Activo de YPF y Petrobras,prop_planta_equipo downstream
2014,gas_y_energia,activo,Millones de pesos 2018,8002.339003464442,Activo de YPF y Petrobras,activo gas_y_energia
2014,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,1917.9589741636728,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2014,petroquimica,activo,Millones de pesos 2018,4507.333708618021,Activo de YPF y Petrobras,activo petroquimica
2014,petroquimica,prop_planta_equipo,Millones de pesos 2018,1290.783787225484,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2014,upstream,activo,Millones de pesos 2018,368279.35167943867,Activo de YPF y Petrobras,activo upstream
2014,upstream,prop_planta_equipo,Millones de pesos 2018,23382.44421012293,Activo de YPF y Petrobras,prop_planta_equipo upstream
2015,adm_central,activo,Millones de pesos 2018,61845.89040047391,Activo de YPF y Petrobras,activo adm_central
2015,adm_central,prop_planta_equipo,Millones de pesos 2018,222.06044626653753,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2015,downstream,activo,Millones de pesos 2018,242494.1195535454,Activo de YPF y Petrobras,activo downstream
2015,downstream,prop_planta_equipo,Millones de pesos 2018,2884.729686221779,Activo de YPF y Petrobras,prop_planta_equipo downstream
2015,gas_y_energia,activo,Millones de pesos 2018,7780.340080301648,Activo de YPF y Petrobras,activo gas_y_energia
2015,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,1603.769889702771,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2015,petroquimica,activo,Millones de pesos 2018,3923.0678840421633,Activo de YPF y Petrobras,activo petroquimica
2015,petroquimica,prop_planta_equipo,Millones de pesos 2018,1174.0418038721568,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2015,upstream,activo,Millones de pesos 2018,497080.25285240106,Activo de YPF y Petrobras,activo upstream
2015,upstream,prop_planta_equipo,Millones de pesos 2018,23258.7756311766,Activo de YPF y Petrobras,prop_planta_equipo upstream
2016,adm_central,activo,Millones de pesos 2018,59458.56853373107,Activo de YPF y Petrobras,activo adm_central
2016,adm_central,prop_planta_equipo,Millones de pesos 2018,156.85543576753923,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2016,downstream,activo,Millones de pesos 2018,192016.2094399213,Activo de YPF y Petrobras,activo downstream
2016,downstream,prop_planta_equipo,Millones de pesos 2018,2082.0339445747895,Activo de YPF y Petrobras,prop_planta_equipo downstream
2016,gas_y_energia,activo,Millones de pesos 2018,46442.52690154923,Activo de YPF y Petrobras,activo gas_y_energia
2016,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,1170.4966952087125,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2016,petroquimica,activo,Millones de pesos 2018,3641.7096926784343,Activo de YPF y Petrobras,activo petroquimica
2016,petroquimica,prop_planta_equipo,Millones de pesos 2018,859.7453601975499,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2016,upstream,activo,Millones de pesos 2018,381158.70891512034,Activo de YPF y Petrobras,activo upstream
2016,upstream,prop_planta_equipo,Millones de pesos 2018,15291.925219073117,Activo de YPF y Petrobras,prop_planta_equipo upstream
2017,adm_central,activo,Millones de pesos 2018,64667.81555599909,Activo de YPF y Petrobras,activo adm_central
2017,downstream,activo,Millones de pesos 2018,190403.9958151195,Activo de YPF y Petrobras,activo downstream
2017,gas_y_energia,activo,Millones de pesos 2018,54429.40421931581,Activo de YPF y Petrobras,activo gas_y_energia
2017,upstream,activo,Millones de pesos 2018,301582.9033211457,Activo de YPF y Petrobras,activo upstream
2018,adm_central,activo,Millones de pesos 2018,82762.0,Activo de YPF y Petrobras,activo adm_central
2018,downstream,activo,Millones de pesos 2018,307312.0,Activo de YPF y Petrobras,activo downstream
2018,gas_y_energia,activo,Millones de pesos 2018,129885.0,Activo de YPF y Petrobras,activo gas_y_energia
2018,upstream,activo,Millones de pesos 2018,480263.0,Activo de YPF y Petrobras,activo upstream
