AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
;9;141.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;149.70
;10;138.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;142.72
;11;154.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;157.25
;12;160.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;164.16
2000;1;160.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;171.46
;2;174.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;184.73
;3;172.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;187.69
;4;143.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;161.77
;5;174.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;181.08
;6;187.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;200.14
;7;180.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;186.81
;8;189.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;196.62
;9;208.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;213.10
;10;194.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;208.26
;11;204.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;216.49
;12;161.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;178.88
2001;1;161.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;186.12
;2;172.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;186.24
;3;154.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;171.40
;4;161.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;172.91
;5;178.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.08
;6;175.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;173.60
;7;154.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;166.24
;8;161.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;172.15
;9;161.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;164.79
;10;129.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;139.44
;11;118.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.53
;12;117.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;121.96
2002;1;122.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;124.03
;2;127.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130.32
;3;149.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;154.29
;4;161.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;164.67
;5;159.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;170.08
;6;151.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.52
;7;161.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.64
;8;167.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;178.57
;9;178.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;186.56
;10;173.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;181.40
;11;153.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;165.74
;12;178.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;185.30
2003;1;196.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;207.25
;2;206.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;225.36
;3;192.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;210.77
;4;157.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;177.18
;5;162.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176.81
;6;173.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.85
;7;178.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;193.47
;8;188.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;198.57
;9;170.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;178.06
;10;186.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;190.83
;11;180.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;195.68
;12;187.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;202.09
2004;1;196.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;215.80
;2;194.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;218.19
;3;211.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;231.09
;4;211.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;231.15
;5;236.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;253.35
;6;221.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;239.20
;7;240.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;256.50
;8;268.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;282.41
;9;271.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;288.95
;10;313.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;335.12
;11;271.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;304.87
