AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
;12; 471,683.60 ; 183,061.99 ; 3,885.27 ; 275,663.84 ; 1,832,704.20 ; 229,564.76 ; 2,996,563.65 
2016;1; 629,361.86 ; 178,937.55 ; 3,380.38 ; 257,145.48 ; 1,778,531.74 ; 227,307.58 ; 3,074,664.59 
;2; 585,757.01 ; 163,758.10 ; 3,310.13 ; 237,263.40 ; 1,725,311.61 ; 209,707.62 ; 2,925,107.88 
;3; 670,717.19 ; 168,994.65 ; 3,636.84 ; 247,839.48 ; 1,795,251.17 ; 216,871.91 ; 3,103,311.23 
;4; 703,718.14 ; 169,871.41 ; 4,718.41 ; 235,715.26 ; 1,710,771.51 ; 222,443.70 ; 3,047,238.43 
;5; 706,227.70 ; 177,468.81 ; 2,933.72 ; 226,673.62 ; 1,883,845.24 ; 224,300.44 ; 3,221,449.53 
;6; 702,887.45 ; 138,181.84 ; 3,038.02 ; 220,814.64 ; 1,881,068.16 ; 192,879.10 ; 3,138,869.21 
;7; 720,833.05 ; 141,766.72 ; 3,104.42 ; 254,338.67 ; 1,854,726.13 ; 198,221.43 ; 3,172,990.42 
;8; 743,723.42 ; 143,165.34 ; 3,093.89 ; 231,037.56 ; 1,896,600.39 ; 217,742.95 ; 3,235,363.56 
;9; 721,442.05 ; 147,744.19 ; 2,771.12 ; 212,818.21 ; 1,834,073.32 ; 207,422.27 ; 3,126,271.16 
;10; 737,075.41 ; 147,196.42 ; 3,472.61 ; 227,969.75 ; 1,887,343.82 ; 187,722.36 ; 3,190,780.37 
;11; 656,688.00 ; 142,047.52 ; 3,048.91 ; 218,444.96 ; 1,751,605.57 ; 180,186.11 ; 2,952,021.08 
;12; 685,022.84 ; 152,623.22 ; 1,909.89 ; 220,516.85 ; 1,828,359.35 ; 205,733.01 ; 3,094,165.16 
2017;1; 716,789.73 ; 171,885.67 ; 2,273.35 ; 214,040.55 ; 1,908,409.33 ; 206,311.65 ; 3,219,710.28 
;2; 480,882.87 ; 139,500.24 ; 3,317.42 ; 193,730.08 ; 1,709,214.41 ; 186,009.69 ; 2,712,654.70 
;3; 725,339.77 ; 177,115.49 ; 3,421.71 ; 199,771.63 ; 1,804,773.91 ; 191,048.84 ; 3,101,471.34 
;4; 709,133.82 ; 149,742.67 ; 3,279.80 ; 204,273.56 ; 1,839,434.11 ; 196,337.91 ; 3,102,201.88 
;5; 679,736.36 ; 156,540.31 ; 1,976.40 ; 220,348.68 ; 1,941,604.09 ; 198,999.58 ; 3,199,205.43 
;6; 697,879.89 ; 146,224.64 ; 1,713.98 ; 206,218.27 ; 1,829,665.65 ; 188,899.38 ; 3,070,601.80 
;7; 743,077.79 ; 154,956.65 ; 1,925.47 ; 210,116.96 ; 1,878,377.69 ; 194,353.84 ; 3,182,808.40 
;8; 716,371.93 ; 188,906.80 ; 1,833.84 ; 210,266.09 ; 1,898,093.04 ; 190,979.26 ; 3,206,450.96 
;9; 675,002.41 ; 169,514.35 ; 2,036.72 ; 211,946.08 ; 1,878,661.41 ; 180,519.13 ; 3,117,680.11 
;10; 741,142.70 ; 180,594.87 ; 1,918.79 ; 214,064.60 ; 1,937,234.61 ; 187,141.53 ; 3,262,097.10 
;11; 660,042.50 ; 177,441.91 ; 1,483.06 ; 209,759.67 ; 1,781,297.33 ; 178,722.52 ; 3,008,746.99 
;12; 720,287.36 ; 184,148.00 ; 2,231.36 ; 205,155.83 ; 1,877,888.25 ; 182,587.51 ; 3,172,298.30 
2018;1; 732,121.60 ; 186,404.83 ; 2,248.50 ; 201,890.64 ; 1,902,440.05 ; 182,082.80 ; 3,207,188.42 
;2; 651,662.13 ; 104,635.14 ; 1,963.35 ; 178,479.29 ; 1,702,353.44 ; 157,057.07 ; 2,796,150.42 
;3; 590,195.29 ; 55,623.67 ; 2,913.11 ; 196,617.03 ; 1,687,020.92 ; 150,218.20 ; 2,682,588.22 
;4; 686,874.85 ; 63,416.75 ; 2,425.71 ; 161,178.03 ; 1,826,965.84 ; 141,380.16 ; 2,882,241.34 
;5; 703,700.08 ; 67,085.51 ; 2,908.21 ; 182,848.06 ; 1,759,962.49 ; 146,807.60 ; 2,863,311.94 
;6; 706,925.12 ; 73,092.97 ; 2,643.56 ; 172,592.94 ; 1,963,387.84 ; 140,825.01 ; 3,059,467.45 
;7; 740,389.59 ; 72,182.78 ; 3,209.38 ; 182,300.48 ; 2,096,543.68 ; 154,004.59 ; 3,248,630.50 
;8; 803,200.06 ; 121,322.57 ; 3,123.96 ; 181,170.90 ; 2,097,108.76 ; 146,998.93 ; 3,352,925.18 
;9; 710,154.10 ; 118,534.72 ; 1,925.12 ; 180,640.81 ; 1,999,138.42 ; 147,505.63 ; 3,157,898.81 
;10; 726,367.14 ; 139,776.08 ; 3,331.20 ; 171,859.44 ; 1,911,971.25 ; 148,735.79 ; 3,102,040.90 
;11; 476,298.31 ; 163,801.39 ; 3,344.67 ; 178,044.73 ; 1,904,603.80 ; 142,230.43 ; 2,868,323.34 
;12; 702,556.62 ; 146,397.44 ; 3,063.91 ; 179,878.37 ; 1,974,317.06 ; 111,692.29 ; 3,117,905.68 
2019;1; 696,394.90 ; 140,896.05 ; 3,074.35 ; 174,795.67 ; 1,971,706.41 ; 108,149.00 ; 3,095,016.37 
;2; 623,937.96 ; 124,286.09 ; 2,960.13 ; 162,747.41 ; 1,819,249.22 ; 138,662.05 ; 2,871,842.86 
;3; 726,804.28 ; 140,153.95 ; 3,139.43 ; 183,496.22 ; 1,938,704.80 ; 147,366.87 ; 3,139,665.55 
;4; 704,732.56 ; 123,904.28 ; 2,761.84 ; 173,971.66 ; 2,121,131.48 ; 144,541.86 ; 3,271,043.68 
;5; 780,193.81 ; 131,747.35 ; 2,388.89 ; 182,769.43 ; 2,276,027.27 ; 148,668.26 ; 3,521,795.02 
;6; 771,543.45 ; 214,420.85 ; 2,630.82 ; 177,816.23 ; 2,336,280.45 ; 143,361.95 ; 3,646,053.76 
;7; 819,381.07 ; 206,381.63 ; 2,869.10 ; 175,406.08 ; 2,515,667.84 ; 142,780.69 ; 3,862,486.41 
;8; 798,131.43 ; 200,225.46 ; 2,677.52 ; 165,308.88 ; 2,526,636.21 ; 143,203.84 ; 3,836,183.33 
;9; 747,576.17 ; 202,178.91 ; 2,729.61 ; 157,290.24 ; 2,308,944.60 ; 138,045.48 ; 3,556,765.02 
;10; 761,489.33 ; 210,965.82 ; 2,726.97 ; 163,414.00 ; 2,484,844.42 ; 144,037.90 ; 3,767,478.44 
;11; 669,830.92 ; 208,644.87 ; 2,626.91 ; 147,138.64 ; 2,091,085.51 ; 138,285.86 ; 3,257,612.71 
;12; 681,398.66 ; 220,057.22 ; 2,290.42 ; 145,239.34 ; 2,204,367.56 ; 141,919.56 ; 3,395,272.77 
2020;1; 702,407.32 ; 210,238.26 ; 2,318.89 ; 154,054.66 ; 2,301,226.84 ; 141,716.26 ; 3,511,962.23 
;2; 649,171.23 ; 186,134.98 ; 2,061.64 ; 139,794.93 ; 2,097,115.33 ; 128,130.72 ; 3,202,408.83 
;3; 703,373.87 ; 201,997.35 ; 2,232.73 ; 158,717.41 ; 2,169,561.39 ; 137,203.22 ; 3,373,085.97 
;4; 638,874.90 ; 189,768.31 ; 1,999.13 ; 147,331.87 ; 1,883,829.19 ; 130,545.97 ; 2,992,349.36 
;5; 764,923.89 ; 200,752.88 ; 2,177.74 ; 143,801.35 ; 2,192,147.44 ; 134,540.49 ; 3,438,343.80 
;6; 753,131.29 ; 187,704.28 ; 1,960.28 ; 125,634.61 ; 2,179,466.20 ; 130,505.22 ; 3,378,401.89 
;7; 770,154.69 ; 179,290.24 ; 2,215.71 ; 120,796.57 ; 2,320,550.74 ; 133,187.83 ; 3,526,195.78 
;8; 757,438.25 ; 171,457.20 ; 2,196.95 ; 115,459.46 ; 2,270,776.66 ; 130,261.64 ; 3,447,590.15 
;9; 729,518.69 ; 190,465.96 ; 1,644.10 ; 122,068.54 ; 2,104,184.70 ; 128,984.08 ; 3,276,866.07 
;10; 747,713.70 ; 202,534.01 ; 1,162.63 ; 122,577.11 ; 2,143,798.48 ; 135,979.48 ; 3,353,765.40 
;11; 698,279.53 ; 192,909.53 ; 298.65 ; 116,907.77 ; 1,943,114.64 ; 129,089.40 ; 3,080,599.53 
;12; 692,648.21 ; 200,400.68 ; 310.00 ; 122,810.20 ; 1,981,282.26 ; 130,273.19 ; 3,127,724.55 
2021;1; 724,819.46 ; 203,829.15 ; 310.00 ; 123,459.65 ; 2,016,171.39 ; 129,475.85 ; 3,198,065.50 
