Año;Mes;Producto;Datos;Total
;;BASES LUBRICANTES;Suma de M3;545
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;197561.6445
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;29371
;;;Suma de ValorFOB;1504663
;;DILUYENTES;Suma de M3;1986
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;200109
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;2739.100098
;;;Suma de ValorFOB;0
;;GAS OIL;Suma de M3;59177
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5635915
;;GLP A GRANEL;Suma de M3;14939
;;;Suma de Toneladas;20554.08032
;;;Suma de ValorFOB;4403172
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;27
;;;Suma de ValorFOB;22427
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;458
;;;Suma de ValorFOB;303361
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;13092
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;956976
;;OTROS ADITIVOS;Suma de M3;22
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;41401
;;PETROLEO;Suma de M3;386201
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;40024734
;8;AEROKEROSENE;Suma de M3;1540
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;233925
;;AGUARRAS;Suma de M3;97
;;;Suma de Toneladas;76
;;;Suma de ValorFOB;39065
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;1261
;;;Suma de ValorFOB;68404
;;BASES LUBRICANTES;Suma de M3;603
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;219330.5234
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;36986
;;;Suma de ValorFOB;1550585
;;DILUYENTES;Suma de M3;1990
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;188354
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;45919
;;;Suma de ValorFOB;4080264
;;GAS OIL;Suma de M3;53536
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5278784
;;GLP A GRANEL;Suma de M3;6871
;;;Suma de Toneladas;25574.11011
;;;Suma de ValorFOB;4623346
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;6
;;;Suma de ValorFOB;5533
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;204
;;;Suma de ValorFOB;143044
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;4565
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;601337
;;PETROLEO;Suma de M3;639521
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;63714941
;;SOLVENTES ALIFATICOS;Suma de M3;32
;;;Suma de Toneladas;23
;;;Suma de ValorFOB;7689
;;SOLVENTES HEXANO;Suma de M3;92
;;;Suma de Toneladas;62
;;;Suma de ValorFOB;21356
;9;ADITIVOS LUBRICANTES;Suma de M3;23
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;50589
;;AEROKEROSENE;Suma de M3;2192
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;323875.25
;;AGUARRAS;Suma de M3;64
;;;Suma de Toneladas;51
;;;Suma de ValorFOB;14475
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;32
;;;Suma de ValorFOB;0
;;BASES LUBRICANTES;Suma de M3;790
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;295060.1875
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;31481
;;;Suma de ValorFOB;1443161
;;GAS OIL;Suma de M3;6702
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;0
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;34319
;;;Suma de ValorFOB;5540282
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;16
;;;Suma de ValorFOB;15492
;;SOLVENTES HEXANO;Suma de M3;215
;;;Suma de Toneladas;145
;;;Suma de ValorFOB;50144
;10;AEROKEROSENE;Suma de M3;2620
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;380725.7969
;;AGUARRAS;Suma de M3;384
;;;Suma de Toneladas;301
;;;Suma de ValorFOB;50211
;;BASES LUBRICANTES;Suma de M3;1009
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;384735.625
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;74838
;;;Suma de ValorFOB;6382533
;;GAS OIL;Suma de M3;33705
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2897876.75
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;37533
;;;Suma de ValorFOB;5600416
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;34
;;;Suma de ValorFOB;32853
;;NAFTA COMUN CON PLOMO;Suma de M3;3448
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;412016.375
;;NAFTA VIRGEN;Suma de M3;186
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;36687.78125
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;7001
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;918372
;11;AEROKEROSENE;Suma de M3;2260
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;341608
;;AERONAFTAS;Suma de M3;244
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;97802.39844
;;AGUARRAS;Suma de M3;695
;;;Suma de Toneladas;545
;;;Suma de ValorFOB;98175
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;1305
;;;Suma de ValorFOB;212218.9375
;;BASES LUBRICANTES;Suma de M3;861
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;365004.719
;;CICLO HEXANO;Suma de M3;0
;;;Suma de Toneladas;4499
;;;Suma de ValorFOB;1718863.625
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;3203
;;;Suma de ValorFOB;92503.70703
;;DILUYENTES;Suma de M3;1881
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;191968.1875
;;FUEL OIL, AZUFRE <1%;Suma de M3;55
;;;Suma de Toneladas;42758
;;;Suma de ValorFOB;3900975
;;GAS OIL;Suma de M3;81310
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7938445.25
;;GLP A GRANEL;Suma de M3;100217
;;;Suma de Toneladas;53822.21082
;;;Suma de ValorFOB;9128417.188
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;23
;;;Suma de ValorFOB;23963.3999
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;247
;;;Suma de ValorFOB;181912.5
;;NAFTA COMUN CON PLOMO;Suma de M3;5715
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;682972
;;OTROS ADITIVOS;Suma de M3;23
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;57795
;;PETROLEO;Suma de M3;784397
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;58818719.44
;;SOLVENTES HEXANO;Suma de M3;151
;;;Suma de Toneladas;101
;;;Suma de ValorFOB;34904
;12;AEROKEROSENE;Suma de M3;7279
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1103090.625
;;AERONAFTAS;Suma de M3;269
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;107322.7969
;;AGUARRAS;Suma de M3;650
;;;Suma de Toneladas;512
;;;Suma de ValorFOB;121050
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;22614
;;;Suma de ValorFOB;1894316.037
;;BASES LUBRICANTES;Suma de M3;859
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;321965.9004
;;CICLO HEXANO;Suma de M3;5992
;;;Suma de Toneladas;4402.640137
;;;Suma de ValorFOB;2596927
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;27683
;;;Suma de ValorFOB;1137096.549
;;DILUYENTES;Suma de M3;3990
;;;Suma de Toneladas;0
