"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-02-01,66927
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-03-01,83192
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-04-01,63219
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-05-01,68472
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-06-01,68658
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-07-01,66054
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-08-01,63534
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-09-01,65307
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-10-01,69372
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-11-01,61344
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-12-01,68975
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-01-01,56916
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-02-01,56913
