anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,coef_ci,crudo_mdo_interno,gas_mdo_interno,unidad,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ms_extr,ms_tot,ebe_tot,ebe_extr,fuente
1989.0,barriles,168021213.70319998,1987128.1000496,2.339250747575955,17.3858625415934,MMBTU,854507100.0,0.0,2.6269564928632865,2.079506803440119,,0.0394,0.029977468642338887,,166034085.60315037,854507100.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1990.0,barriles,176139785.63279998,6529986.54580544,15.004229452157873,22.4796346776996,MMBTU,812535400.0,0.0,2.8153491709423655,3.4083173362559775,,0.449,0.7399955380923077,,169609799.08699453,812535400.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1991.0,barriles,180017346.69599998,5543827.82874338,16.480434698956476,26.6272432261772,MMBTU,869897900.0,0.0,2.929518857415326,3.464216042514136,,0.95,1.69,,174473518.8672566,869897900.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1992.0,barriles,202821544.93919998,16964341.7535642,,20.5616324563088,MMBTU,884017900.0,0.0,1.9258762727036292,3.665020555443315,,0.99,1.894025275738358,,185857203.18563578,884017900.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,0.6205117391080787,188215757.8275299,902534750.451,Millones de pesos corrientes,4215.6778411553,3805.94978895438,2615.8775887346656,2361.6365225021073,1599.800252420634,1444.3132664522727,154.1805462128037,431.7522441038455,1168.0480083167886,1012.5610223484273,Criterio CCNN
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,0.6206925797466143,188215757.8275299,902534750.451,Millones de pesos corrientes,4215.6778411553,3805.94978895438,2616.6399546073208,2362.3247928921764,1599.0378865479788,1443.6249960622035,154.1805462128037,431.7522441038455,1167.2856424441334,1011.8727519583581,Criterio CCNN
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,0.6173273466455476,177410333.8391702,938109797.6657399,Millones de pesos corrientes,4535.9094579269595,4095.057614597578,2800.140950286494,2527.991051580168,1735.7685076404655,1567.0665630174099,165.89241971187855,464.54903844719047,1271.219469193275,1102.5175245702194,Criterio CCNN
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,0.617489056143594,177410333.8391702,938109797.6657399,Millones de pesos corrientes,4535.9094579269595,4095.057614597578,2800.8744499281192,2528.6532612914957,1735.0350079988402,1566.4043533060822,165.89241971187855,464.54903844719047,1270.4859695516498,1101.8553148588917,Criterio CCNN
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,0.6161034704352405,174410734.5924154,1030404685.0189399,Millones de pesos corrientes,5329.544512872083,4811.558088231355,3283.5508702195834,2964.417636360089,2045.9936426524996,1847.1404518712661,194.91814010030706,545.8298499520212,1500.1637927004786,1301.310601919245,Criterio CCNN
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,0.6162524625524829,174410734.5924154,1030404685.0189399,Millones de pesos corrientes,5329.544512872083,4811.558088231355,3284.344930340494,2965.1345205868893,2045.199582531589,1846.423567644466,194.91814010030706,545.8298499520212,1499.3697325795679,1300.593717692445,Criterio CCNN
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,0.6090919255304758,183013091.198579,1178039197.521936,Millones de pesos corrientes,7114.269841023127,6422.823284946792,4333.244316212168,3912.089801970217,2781.025524810959,2510.733482976575,260.1911368288103,728.6140176641856,2052.411507146773,1782.1194653123894,Criterio CCNN
