anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,unidad,ci_tot,ci_extr,ms_tot,ms_extr,consumo_k_fijo,vbp_tot,va_tot,ebe_tot,vbp_extr,ebe_extr,va_extr,fuente,pv
1962.0,barriles,98205911.8062,1600164.59776432,,2.31288519016786,MMBTU,217906900.0,0.0,,0.8318866410727309,,1.16e-11,1.1025934906447486e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1963.0,barriles,97140620.95979999,640739.01985856,2.466666938176836,2.18419661769457,MMBTU,209893800.0,0.0,,0.9089018014224703,,1.39e-11,1.3689814027401163e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1964.0,barriles,100275727.7412,101996.187941,1.723294996349331,1.97064227651594,MMBTU,230685500.0,0.0,,1.051371001612714,,1.41e-11,1.5961183187096464e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1965.0,barriles,98276326.11719999,0.0,2.4667463058776495,3.01,MMBTU,220130800.0,0.0,,2.037615891092793,,1.68e-11,1.9334847321468138e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1966.0,barriles,104759675.84279999,19421.3608275,3.48023784540049,5.51186917079588,MMBTU,210458600.0,0.0,0.1261790566041728,1.957538280304303,,2.07e-11,2.491185820885275e-11,Millones de pesos corrientes,,,,,,1.5046191757583508e-08,,,,,,Criterio propio,
1967.0,barriles,114673312.66379999,58111.59861867,2.375274253553372,1.77725277663965,MMBTU,228320400.0,0.0,0.1254758552860765,1.4360386059710821,,3.31e-11,3.281393980941069e-11,Millones de pesos corrientes,,,,,,7.62767121330359e-09,,,,,,Criterio propio,
1968.0,barriles,125488170.89819999,1182294.78060432,2.820439441635664,1.29989324592505,MMBTU,249006200.0,0.0,,1.4453273570737877,,3.5e-11,3.527585316582835e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1969.0,barriles,130081536.3606,381429.802925,2.820439441635664,2.34669654320641,MMBTU,247347100.0,0.0,,2.1209250074223003,,3.5e-11,3.3458068278099456e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1970.0,barriles,143397621.62219998,0.0,2.604216350281408,3.39,MMBTU,270539200.0,0.0,,,0.10895619960775765,3.77e-11,3.569785208225281e-11,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1971.0,barriles,154510553.4786,0.0,2.1495119081687815,3.6,MMBTU,286530100.0,0.0,,1.2999371153658301,0.11640781438450343,4.59e-11,4.7720273050483874e-11,Millones de pesos corrientes,,,2.219154129696764e-09,8.77782268712816e-10,,,,,,,,Criterio propio,
