anio,unidad,fuente,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ebe_tot,ebe_extr,ms_tot,ms_extr,coef_ci,vbp_criterio_ccnn_04,consumo_k_fijo,pv
1997,Millones de pesos corrientes,Empalme CCNN,9324.905513552132,8418.60396087507,5583.106964229245,5040.476424639404,3741.798549322887,3378.1275362356664,2786.780392520582,3000.371889107899,955.018156802305,377.75564712776765,0.5987306741194501,0.2687224114068358,140.34417345891907,2632.811622828778
1997,Millones de pesos corrientes,Empalme CCNN,9324.905513552132,8418.60396087507,5583.106964229245,5040.476424639404,3741.798549322887,3378.1275362356664,2786.780392520582,3000.371889107899,955.018156802305,377.75564712776765,0.5987306741194501,0.2687224114068358,140.34417345891907,2632.811622828778
1997,Millones de pesos corrientes,Empalme CCNN,9324.905513552132,8418.60396087507,5584.970249080435,5042.158614041287,3739.9352644716973,3376.4453468337833,2784.9171076693924,2998.6896997060157,955.018156802305,377.75564712776765,0.5989304922139586,0.2687224114068358,140.34417345891907,2631.129433426895
1997,Millones de pesos corrientes,Empalme CCNN,9324.905513552132,8418.60396087507,5584.970249080435,5042.158614041287,3739.9352644716973,3376.4453468337833,2784.9171076693924,2998.6896997060157,955.018156802305,377.75564712776765,0.5989304922139586,0.2687224114068358,140.34417345891907,2631.129433426895
1998,Millones de pesos corrientes,Empalme CCNN,6960.311698861681,6283.8285655337495,3725.384640121766,3363.3089194879503,3234.927058739915,2920.519646045799,2522.080795605579,2638.554638872993,712.8462631343359,281.9650071728061,0.5352324437899859,0.20058023549332815,1152.2927403570995,1316.6628793378802
1998,Millones de pesos corrientes,Empalme CCNN,6960.311698861681,6283.8285655337495,3725.384640121766,3363.3089194879503,3234.927058739915,2920.519646045799,2522.080795605579,2638.554638872993,712.8462631343359,281.9650071728061,0.5352324437899859,0.20058023549332815,1152.2927403570995,1316.6628793378802
1998,Millones de pesos corrientes,Empalme CCNN,6960.311698861681,6283.8285655337495,3726.4219853920204,3364.245443615542,3233.889713469661,2919.5831219182073,2521.043450335325,2637.6181147454013,712.8462631343359,281.9650071728061,0.5353814809761257,0.20058023549332815,1152.2927403570995,1315.7263552102884
1998,Millones de pesos corrientes,Empalme CCNN,6960.311698861681,6283.8285655337495,3726.4219853920204,3364.245443615542,3233.889713469661,2919.5831219182073,2521.043450335325,2637.6181147454013,712.8462631343359,281.9650071728061,0.5353814809761257,0.20058023549332815,1152.2927403570995,1315.7263552102884
1999,Millones de pesos corrientes,Empalme CCNN,8403.739969689279,7586.967877816106,5148.93372018539,4648.501129372178,3254.8062495038894,2938.466748443928,2394.1300480738037,2598.0278854517196,860.6762014300859,340.4388629922081,0.6126955068525004,0.2421765310338967,1131.5758506710956,1261.6815994968904
1999,Millones de pesos corrientes,Empalme CCNN,8403.739969689279,7586.967877816106,5148.93372018539,4648.501129372178,3254.8062495038894,2938.466748443928,2394.1300480738037,2598.0278854517196,860.6762014300859,340.4388629922081,0.6126955068525004,0.2421765310338967,1131.5758506710956,1261.6815994968904
1999,Millones de pesos corrientes,Empalme CCNN,8403.739969689279,7586.967877816106,5150.103596778565,4649.557303904642,3253.6363729107143,2937.410573911464,2392.9601714806286,2596.9717109192557,860.6762014300859,340.4388629922081,0.612834715894831,0.2421765310338967,1131.5758506710956,1260.6254249644264
