anio,renta_diferencial_precios_crudo,renta_diferencial_precios_gas,retenciones,regalias_total,renta_expo_sobrevaluada_crudo,renta_expo_sobrevaluada_gas,subsidios,renta_empresas,tcc,tcp,unidad_pbi_gcia,pbi,ganancia,ipc_18,renta_total,proporcion_subsidios,renta_pv,renta_pbi,unidad,renta_usd_tcc,renta_usd_tcp
1974.0,246281.34682276304,18442.90867873129,,,169.12708687007975,0.0,,,8.68e-11,1.2647585597322773e-10,Millones de pesos corrientes,4.005930259602089e-06,2.39863956439965e-06,7.862865874627233e-13,264893.3825883644,,0.08683343547240832,0.05199344480289365,Millones de pesos 2018,2399.563523466159,1646.8132374684346
1975.0,261558.89527435048,38280.205982515035,,,66.27710815879948,0.0,,,2.57e-10,3.74002397389071e-10,Millones de pesos corrientes,1.1261417999786263e-05,7.215404297176235e-06,2.223562701279655e-12,299905.37836502434,,0.0924214896047623,0.059216202902537436,Millones de pesos 2018,2594.779818076384,1783.0324562115156
1976.0,210524.42953668983,59639.58953075871,,,0.0,0.0,,,1.83e-09,2.001721362135581e-09,Millones de pesos corrientes,6.12563313360916e-05,5.37197808369143e-05,1.2096449331635978e-11,270164.01906744856,,0.06083467424786771,0.05335000148719387,Millones de pesos 2018,1785.8062119565725,1632.6075295484495
1977.0,235999.46672190138,52526.89550152384,,,0.0,0.0,,,4.05e-09,4.817638854131992e-09,Millones de pesos corrientes,0.0001798928864677723,0.0001517401466186602,3.339003770379513e-11,288526.36222342524,,0.06348950049053328,0.05355356902845032,Millones de pesos 2018,2378.742250167659,1999.715297238649
1978.0,224938.6476207426,55847.89900332409,,,0.0,0.0,,,7.9e-09,1.2622630391494297e-08,Millones de pesos corrientes,0.0004796298882810422,0.0003525875823177378,9.199250042399375e-11,280786.54662406666,,0.07325912143465393,0.05385455981890517,Millones de pesos 2018,3269.6527227045813,2046.3449937321936
1979.0,486337.5979958536,53756.9715017834,,,0.0018829365428508866,0.0,,,1.31e-08,2.4626019715424612e-08,Millones de pesos corrientes,0.0013309838089551943,0.0008628139646630215,2.387307052955516e-10,540094.5713805736,,0.1494379590881336,0.09687357358103178,Millones de pesos 2018,9842.531141372745,5235.809905212681
1980.0,496598.09778113145,105436.77402521456,,,0.0,0.0,,,1.83e-08,4.162040187202227e-08,Millones de pesos corrientes,0.0027150671219170705,0.0015881452215630724,4.792857572202128e-10,602034.871806346,,0.1816878806099904,0.10627609795625953,Millones de pesos 2018,15767.581388343075,6932.819637204003
1981.0,466394.21441372775,138196.7251968184,,,0.0,0.0,,,4.41e-08,8.190042358174585e-08,Millones de pesos corrientes,0.005235502467203733,0.003442131914904832,9.800301889961748e-10,604590.9396105462,,0.17213674183904146,0.11317297174885306,Millones de pesos 2018,13435.768090972757,7234.606939737002
1982.0,366521.9519893676,175478.5560699508,,,0.0,0.0,,,2.16e-07,2.0667427771827035e-07,Millones de pesos corrientes,0.013427315129179888,0.01150652428924604,2.594910954518834e-09,542000.5080593184,,0.12223005143545876,0.10474492049877149,Millones de pesos 2018,6511.310443138421,6805.1190077707815
1983.0,236917.1053086371,184410.20865478058,,,0.0,0.0,,,1.053e-06,8.931256667281215e-07,Millones de pesos corrientes,0.06203038602136852,0.0512460856736307,1.1516202688432593e-08,421327.31396341766,,0.0946821729307668,0.07822119217675225,Millones de pesos 2018,4607.873452778342,5432.707766143092
1984.0,245781.5340307482,206277.67382485353,,,0.0,0.0,,,6.77e-06,6.5215349932082375e-06,Millones de pesos corrientes,0.45980544362589726,0.26706891553390644,8.369211238631533e-08,452059.20785560174,,0.14166302339411124,0.0822821707606874,Millones de pesos 2018,5588.447567078243,5801.362726493254
1985.0,198332.8619590964,217716.11199668635,,,-672.248229290689,0.0,,,6e-05,5.369904101939766e-05,Millones de pesos corrientes,3.303677985558841,1.7430654440400233,6.46255499258871e-07,415376.725726492,,0.15400425393249062,0.08125473924465455,Millones de pesos 2018,4473.991554414821,4998.962517187618
1986.0,109799.02075625584,169830.26146495627,,,-71.1353755699583,0.0,,,9.42e-05,8.955315961391932e-05,Millones de pesos corrientes,6.749048986932803,3.235411972156777,1.2284685196323461e-06,279558.1468456421,,0.10614672436218167,0.05088544822708476,Millones de pesos 2018,3645.736547841062,3834.910842757676
1987.0,104879.17857464349,151954.98900551524,,,-20.108560353020504,0.0,,,0.000214,0.00020847512175890085,Millones de pesos corrientes,15.95981848369131,8.357196723618083,2.8418722323829473e-06,256814.05901980572,,0.08732985082801481,0.045729388712016227,Millones de pesos 2018,3410.4333795043985,3500.814567495419
1988.0,25177.384787032883,104659.64444112997,,,145.08183100657882,0.0,,,0.000871,0.0009757902950238913,Millones de pesos corrientes,69.31076152279937,46.071063654557754,1.258818630324046e-05,129982.11105916945,,0.03551554707679179,0.02360728686501426,Millones de pesos 2018,1878.575235477976,1676.8347035684092
