anio,unidad_produccion,produccion_crudo,produccion_gas,produccion_total,consumo_k_fijo,ci_extr,ms_extr,ppye,tg_normal,renta_total,ipc_18,precio_referencia_externo,ppye_usd,renta_total_usd,unidad_costos,costos_totales,costos_totales_sum_gcia_normal,precio_costo,precio_costo_mmbtu,precio_produccion,precio_venta_potencial
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
2000.0,BEP,1712572154.0968945,275128569.9242944,1987700724.021189,2193.24920957829,7322921559.901091,506878276.06992155,17002.87999999998,0.117066142,,0.03885231180582565,27.930764059573495,660601195.357036,,USD/boe,7829802029.2202215,7907136062.561258,3.939125208638177,0.6793217360763177,3.9780314848227465,23.991638850935317
