anio,unidad,autor,tipo_de_renta,valor,tcc,tcp,ipc_us_20
2000.0,Millones de USD,Mansilla,renta_estado_total,2336.3732704575923,1.0,1.969548988287749,0.6652031746123727
2001.0,Millones de USD,Mansilla,renta_empresas,2354.819710864712,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Mansilla,renta_consumidores,143.03662516622876,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Mansilla,renta_total,4303.077191577138,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Mansilla,renta_estado_total,1805.9254694632725,1.0,2.07506215718321,0.6839394785190851
2002.0,Millones de USD,Mansilla,renta_empresas,4625.4801201455275,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Mansilla,renta_consumidores,560.8849909467805,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Mansilla,renta_total,9144.610618631017,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Mansilla,renta_estado_total,3959.7023516710374,3.14,3.101870690383393,0.6948528926503146
2003.0,Millones de USD,Mansilla,renta_empresas,4136.185206531654,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Mansilla,renta_consumidores,853.0593792735298,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Mansilla,renta_total,8493.70473849644,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Mansilla,renta_estado_total,3504.460152691257,2.93,3.575691739551415,0.710820601821671
2004.0,Millones de USD,Mansilla,renta_empresas,4234.996214464993,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Mansilla,renta_consumidores,2234.7198459203055,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Mansilla,renta_total,10306.27385270946,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Mansilla,renta_estado_total,3837.7126863013827,2.93,3.476419712823161,0.7297822564626566
2005.0,Millones de USD,Mansilla,renta_empresas,4458.356962863954,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Mansilla,renta_consumidores,3266.155612616463,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Mansilla,renta_total,11901.184693527159,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Mansilla,renta_estado_total,4177.663966091874,2.928416666666667,3.913969455049009,0.7543454864984326
1963.0,Millones de USD,Propia,retenciones,,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,regalias_total,,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,renta_empresas,,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,renta_total,-261.4003970695441,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,subsidios,,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,renta_sobrevaluacion,-0.18156939350438675,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1963.0,Millones de USD,Propia,renta_diferencial_precios,-261.2188276760397,1.39e-11,1.3689814027401163e-11,0.11834132845545574
1964.0,Millones de USD,Propia,retenciones,,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,regalias_total,,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,renta_empresas,,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,renta_total,374.7175522944244,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,subsidios,,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,renta_sobrevaluacion,0.19546778799490017,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1964.0,Millones de USD,Propia,renta_diferencial_precios,374.5220845064295,1.41e-11,1.5961183187096464e-11,0.11990590641055232
1965.0,Millones de USD,Propia,retenciones,,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,regalias_total,,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,renta_empresas,,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,renta_total,699.2776380949017,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,subsidios,,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,1.68e-11,1.9334847321468138e-11,0.121798852578447
1965.0,Millones de USD,Propia,renta_diferencial_precios,699.2776380949017,1.68e-11,1.9334847321468138e-11,0.121798852578447
1966.0,Millones de USD,Propia,retenciones,,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,regalias_total,,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,renta_empresas,,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,renta_total,2187.832167403832,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,subsidios,,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,renta_sobrevaluacion,0.14428147006187494,2.07e-11,2.491185820885275e-11,0.12543987658506073
1966.0,Millones de USD,Propia,renta_diferencial_precios,2187.68788593377,2.07e-11,2.491185820885275e-11,0.12543987658506073
1967.0,Millones de USD,Propia,retenciones,,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,regalias_total,,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,renta_empresas,,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,renta_total,-550.0272862425895,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,subsidios,,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,renta_sobrevaluacion,-0.0069830895731544515,3.31e-11,3.281393980941069e-11,0.12893281296629494
1967.0,Millones de USD,Propia,renta_diferencial_precios,-550.0203031530164,3.31e-11,3.281393980941069e-11,0.12893281296629494
1968.0,Millones de USD,Propia,retenciones,,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,regalias_total,,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,renta_empresas,,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,renta_total,-1385.7990727077408,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,subsidios,,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,renta_sobrevaluacion,0.08941625749138431,3.5e-11,3.527585316582835e-11,0.13440561651292918
1968.0,Millones de USD,Propia,renta_diferencial_precios,-1385.8884889652322,3.5e-11,3.527585316582835e-11,0.13440561651292918
1969.0,Millones de USD,Propia,retenciones,,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,regalias_total,,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,renta_empresas,,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,renta_total,-552.8365042516207,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,subsidios,,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,renta_sobrevaluacion,-0.29108837491473344,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1969.0,Millones de USD,Propia,renta_diferencial_precios,-552.545415876706,3.5e-11,3.3458068278099456e-11,0.14171341889578784
1970.0,Millones de USD,Propia,retenciones,,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,regalias_total,,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,renta_empresas,,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,renta_total,611.3562421444275,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,subsidios,,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,3.77e-11,3.569785208225281e-11,0.1500513960638953
1970.0,Millones de USD,Propia,renta_diferencial_precios,611.3562421444275,3.77e-11,3.569785208225281e-11,0.1500513960638953
1971.0,Millones de USD,Propia,retenciones,,4.59e-11,4.7720273050483874e-11,0.15639340958558323
