anio,ppye,tg_hidrocarburos,tg_normal,pv,subsidios,ipc_18,renta_con_tg_normal,gcia_normal_hidrocarburos,renta_total,unidad,unidad_pbi_gcia,pbi,ganancia,renta_pv,renta_pbi
2000,17002.87999999998,0.05697799850614603,0.117066142,204421.4126878375,,0.03885231180582565,-26296.285748833754,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.05697799850614603,0.117066142,204421.4126878375,,0.03885231180582565,-26296.285748833754,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.05697799850614603,0.117066142,204395.1482322628,,0.03885231180582565,-26296.285748833754,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.05697799850614603,0.117066142,204395.1482322628,,0.03885231180582565,-26296.285748833754,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.056917983095968606,0.117066142,204421.4126878375,,0.03885231180582565,-26322.55020440843,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.056917983095968606,0.117066142,204421.4126878375,,0.03885231180582565,-26322.55020440843,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.056917983095968606,0.117066142,204395.1482322628,,0.03885231180582565,-26322.55020440843,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2000,17002.87999999998,0.056917983095968606,0.117066142,204395.1482322628,,0.03885231180582565,-26322.55020440843,1990.4615644889575,,Millones de pesos de 2018,Millones de pesos corrientes,299121.02445911936,145267.55396975827,,
2001,18999.267999999985,0.04945790726780458,0.114123054,210107.35413514503,,0.038438393302769644,-31962.586035971985,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04945790726780458,0.114123054,210107.35413514503,,0.038438393302769644,-31962.586035971985,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04945790726780458,0.114123054,210082.41732813336,,0.038438393302769644,-31962.586035971985,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04945790726780458,0.114123054,210082.41732813336,,0.038438393302769644,-31962.586035971985,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04940745633487235,0.114123054,210107.35413514503,,0.038438393302769644,-31987.52284298365,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04940745633487235,0.114123054,210107.35413514503,,0.038438393302769644,-31987.52284298365,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04940745633487235,0.114123054,210082.41732813336,,0.038438393302769644,-31987.52284298365,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2001,18999.267999999985,0.04940745633487235,0.114123054,210082.41732813336,,0.038438393302769644,-31987.52284298365,2168.2544879244706,,Millones de pesos de 2018,Millones de pesos corrientes,284874.369931254,138936.06039790408,,
2002,30449.907000000017,0.31691532113145876,0.188701126,221926.6659873338,,0.04838182825389189,80693.73272430488,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31691532113145876,0.188701126,221926.6659873338,,0.04838182825389189,80693.73272430488,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31691532113145876,0.188701126,221913.1742709825,,0.04838182825389189,80693.73272430488,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31691532113145876,0.188701126,221913.1742709825,,0.04838182825389189,80693.73272430488,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31689388415618797,0.188701126,221926.6659873338,,0.04838182825389189,80680.24100795362,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
