anio,fuente,variable,unidad,valor
1996.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,7114.269841023127
1996.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,7114.269841023127
1997.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,7219.32251367299
1997.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,7219.32251367299
1998.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,5388.658885255814
1998.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,5388.658885255814
1999.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,6506.158059624205
1999.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,6506.158059624205
2000.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,9686.996813804488
2000.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,9686.996813804488
2001.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,8729.563273798454
2001.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,8729.563273798454
2002.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,21299.98173195457
2002.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,21299.98173195457
2003.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,23588.90916599194
2003.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,23588.90916599194
2004.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,26865.353268742452
2004.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,26865.353268742452
2005.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,32380.30700846291
2005.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,32380.30700846291
2006.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,38799.05574487162
2006.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,38799.05574487162
2007.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,40135.91378848699
2007.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,40135.91378848699
2008.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,45761.25433963744
2008.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,45761.25433963744
2009.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,50042.3133774219
2009.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,50042.3133774219
2010.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,59841.294684315486
2011.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,69247.60301047353
2012.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,83828.25493962523
2013.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,96314.48231558173
2014.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,149204.36881954677
2015.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,159663.53697173172
2016.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,232128.98491678736
2017.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,249304.21810192542
2018.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,514296.0750928724
2019.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,747273.2559474992
2020.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,748215.837508712
2021.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,1270004.7944865485
2022.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,2500655.332639502
2023.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,5930598.498240442
2024.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,21543005.456999723
2025.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,26412494.810450234
2026.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1960.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1961.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1962.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1963.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1964.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1965.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1966.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1967.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1968.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1969.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1970.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1971.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,2.166807241520855e-08
1972.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,2.942881464931374e-08
1973.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1974.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,1.281535535341372e-07
1975.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,2.2494147617759333e-07
1976.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,1.6904387420892011e-06
1977.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,4.5451174167906785e-06
1978.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,1.627301153195153e-05
1979.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1980.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1981.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1982.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1983.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1984.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,0.020155830378025128
1985.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,0.18691340541066007
1986.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,0.30408419825575456
1987.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,0.5632344223551836
1988.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,3.364575798137799
1989.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1990.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1991.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1992.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,
1993.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,5445.219751562029
1993.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,5445.219751562029
1994.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,5858.849917438703
1994.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,5858.849917438703
1995.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,6883.956066331451
1995.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,6883.956066331451
1996.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,9189.213245399438
1996.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,9189.213245399438
1997.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,9324.905513552132
1997.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,9324.905513552132
1998.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,6960.311698861681
1998.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,6960.311698861681
1999.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,8403.739969689279
1999.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,8403.739969689279
2000.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,12512.300126185919
2000.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,12512.300126185919
2001.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,11275.6221305495
2001.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,11275.6221305495
2002.0,Empalme CCNN,vbp_tot,Millones de pesos corrientes,27512.320818842374
