anio,unidad_cantidad,prod_crudo,expo_crudo,prod_mdo_interno,precio_interno_crudo,precio_externo_crudo,brent_iea,tcc,tcp,renta_dif_precios_crudo,renta_dif_precios_brent,unidad_precio,unidad_renta
1978.0,barriles,165137944.22399998,0.0,165137944.22399998,8.025692390855035,14.95,,7.9e-09,1.2622630391494297e-08,20.692668636623743,,USD,Pesos corrientes
1979.0,barriles,172553838.567,1.20135371,172553837.3656463,9.663264332729181,32.4633783334302,,1.31e-08,2.4626019715424612e-08,116.10371778129456,,USD,Pesos corrientes
1980.0,barriles,179675709.9192,0.0,179675709.9192,12.71900537377977,37.42,,1.83e-08,4.162040187202227e-08,238.01239532914684,,USD,Pesos corrientes
1981.0,barriles,181475630.5362,0.0,181475630.5362,9.280104295844065,35.75,,4.41e-08,8.190042358174585e-08,457.08041009860807,,USD,Pesos corrientes
1982.0,barriles,179071260.1392,0.0,179071260.1392,5.8666412286559195,31.83,,2.16e-07,2.0667427771827035e-07,951.0918282888362,,USD,Pesos corrientes
1983.0,barriles,179096469.6576,0.0,179096469.6576,10.197462558427931,29.08,,1.053e-06,8.931256667281215e-07,2728.3854050909945,,USD,Pesos corrientes
1984.0,barriles,175096653.7518,0.0,175096653.7518,10.342141244554677,28.75,,6.77e-06,6.5215349932082375e-06,20569.975768582364,,USD,Pesos corrientes
1985.0,barriles,167780798.6778,2557822.1855568,165222976.4922432,11.195904480269643,26.9560911580689,,6e-05,5.369904101939766e-05,128173.70272481658,,USD,Pesos corrientes
1986.0,barriles,158370534.5508,828555.61461192,157541978.93618807,12.488473401380013,22.6970931924809,,9.42e-05,8.955315961391932e-05,134884.64048551884,,USD,Pesos corrientes
1987.0,barriles,156346426.59239998,523314.55696856,155823112.0354314,10.316703233807116,19.7651448106409,18.5258125,0.000214,0.00020847512175890085,298053.22534641187,257793.2150014905,USD,Pesos corrientes
1988.0,barriles,164306432.664,1264149.1603008,163042283.5036992,13.21345670768546,13.7865882819184,14.905411764705883,0.000871,0.0009757902950238913,316937.61032754206,494936.9195019577,USD,Pesos corrientes
1989.0,barriles,168021213.70319998,1987128.1000496,166034085.60315037,2.339250747575955,17.3858625415934,18.228228346456692,0.0394,0.029977468642338887,71231556.49725296,75424248.31382714,USD,Pesos corrientes
1990.0,barriles,176139785.63279998,6529986.54580544,169609799.08699453,15.004229452157873,22.4796346776996,23.7614453125,0.449,0.7399955380923077,1678785975.5683208,1839666662.2501717,USD,Pesos corrientes
1991.0,barriles,180017346.69599998,5543827.82874338,174473518.8672566,16.480434698956476,26.6272432261772,20.04112840466926,0.95,1.69,5119686048.8857,3177702606.59854,USD,Pesos corrientes
1992.0,barriles,202821544.93919998,16964341.7535642,185857203.18563578,,20.5616324563088,19.319727626459144,0.99,1.894025275738358,,,USD,Pesos corrientes
1993.0,barriles,216666596.091,28450838.2634701,188215757.8275299,15.32512612417459,16.061741160708575,17.013412698412697,0.99,1.972021623383232,3105978975.286205,3459206659.570452,USD,Pesos corrientes
1994.0,barriles,243619496.09579998,66209162.2566298,177410333.8391702,14.297503511107932,14.472662202081663,15.856388888888889,1.0,1.812286513626661,2116701678.4244275,2561595207.0824876,USD,Pesos corrientes
1995.0,barriles,262532037.834,88121303.2415846,174410734.5924154,15.846356332342312,15.808010902102737,17.01584980237154,0.99,1.850027967708323,2364550776.0268483,2754277796.9568152,USD,Pesos corrientes
1996.0,barriles,286623720.3984,103610629.199821,183013091.198579,19.890519012263244,19.6415803732122,20.6398031496063,1.0,1.700047480198135,2470878083.707392,2781456078.9836545,USD,Pesos corrientes
1997.0,barriles,304444925.2284,104005003.708477,200439921.51992297,18.5480299002618,18.133956729083277,19.10850806451613,1.0,1.685374159314438,2408179860.2734704,2737399151.7045817,USD,Pesos corrientes
1998.0,barriles,309128920.41899997,107523445.730744,201605474.68825597,12.160952771153296,11.559119299224387,12.75810276679842,1.0,1.834025658588197,1822265237.0845213,2265588910.801057,USD,Pesos corrientes
1999.0,barriles,280944389.51699996,0.0,280944389.51699996,17.00178969667822,16.203629993661696,17.90156626506024,1.0,1.945408423379476,4079562178.003023,5007571933.04623,USD,Pesos corrientes
2000.0,barriles,272277680.3868,5608444.835399999,266669235.5514,28.146854075911264,27.930764059573495,28.66067193675889,1.0,1.969548988287749,7163843416.175277,7547204261.45754,USD,Pesos corrientes
2001.0,barriles,280631962.5714,104949187.51679999,175682775.0546,22.719092633178587,23.395872600601972,24.455719844357976,1.0,2.07506215718321,4537674774.49888,4924044925.676837,USD,Pesos corrientes
2002.0,barriles,276503268.66359997,97245641.75039999,179257626.91319996,19.682486484599405,24.9059965634639,24.993254901960782,3.14,3.101870690383393,2769919897.2927704,2818438498.443733,USD,Pesos corrientes
2003.0,barriles,270191278.2492,83878726.09908,186312552.15012,24.237501381866938,30.1449796250912,28.850813953488373,2.93,3.575691739551415,6851322825.256845,5989154503.170584,USD,Pesos corrientes
2004.0,barriles,254315156.3304,64388883.8736,189926272.45679998,28.35350209068651,36.16651394674907,38.25969348659004,2.93,3.476419712823161,8101157180.629267,9483207099.017847,USD,Pesos corrientes
2005.0,barriles,242613090.357,54636926.3616,187976163.9954,34.634829819708095,48.14787712144361,54.57455252918288,2.928416666666667,3.913969455049009,16358457900.639862,21086774848.03972,USD,Pesos corrientes
2006.0,barriles,241190771.5932,31949152.3164,209241619.2768,39.976812063446644,58.71126301600694,65.16176470588235,3.07775,4.120995359841515,24880964707.139828,30443127442.87193,USD,Pesos corrientes
2007.0,barriles,238412145.51659998,20763719.822339997,217648425.69426,40.70764055560855,62.8278887947296,72.44116,3.119166666666667,4.572715840632663,34893431916.60361,44460986286.44612,USD,Pesos corrientes
2008.0,barriles,236452111.75079998,20686397.4114204,215765714.33937958,44.0758716586113,85.23603883175497,96.94434782608695,3.183166666666667,5.592039744778452,72571173597.10483,86698073250.84824,USD,Pesos corrientes
2009.0,barriles,227941980.90179998,38281780.30050659,189660200.60129339,42.75057204654097,56.2753035685592,61.73876984126984,3.75,6.96022588383259,43882473268.32251,51094674010.08075,USD,Pesos corrientes
2010.0,barriles,222743303.95679998,33429069.621789597,189314234.33501038,50.0750584769521,75.26580553145574,79.60944444444445,3.89,7.66405578636219,72327381105.47421,78629631320.81514,USD,Pesos corrientes
2011.0,barriles,209615629.65420002,21725042.0421738,187890587.6120262,59.70086404045704,102.7709066424628,111.26427419354839,4.11,9.17750726520705,131111966858.11891,145757651559.961,USD,Pesos corrientes
2012.0,barriles,208440946.60619998,24058816.80833532,184382129.79786468,70.09650602032922,105.63934778595046,111.57068273092369,4.552518519,12.13401732884997,177507264135.32913,190777415833.84048,USD,Pesos corrientes
2013.0,barriles,204173770.1718,15931837.93771614,188241932.23408386,70.50673289558756,95.18008634631269,108.555,5.49,14.84157193157559,193049656476.58252,230416572869.6744,USD,Pesos corrientes
2014.0,barriles,201146495.7216,16825688.388588417,184320807.33301157,72.9746844030547,93.08851800379158,98.9696062992126,8.1236,21.34231847897062,256926183719.26468,280061405121.83545,USD,Pesos corrientes
2015.0,barriles,201105366.7194,14726080.94671626,186379285.77268374,67.99899768540601,67.99899768441387,52.31654901960784,9.43,25.48181551080215,203434363242.30396,128953983063.72519,USD,Pesos corrientes
2016.0,barriles,178186765.72620198,18683541.3286236,159503224.3975784,58.10644420993779,58.106444210139664,43.638000000000005,14.77744618867244,36.58219323265958,202089997961.94385,117666947540.39268,USD,Pesos corrientes
2017.0,barriles,166375420.6223076,10845928.399745999,155529492.2225616,53.103430588677966,53.103430588571754,54.1248046875,16.55671666666666,47.31066691847749,254001475757.90466,261516954740.73077,USD,Pesos corrientes
2018.0,barriles,169545967.85606632,22591805.242284298,146954162.61378202,63.543576328606115,63.54357632749431,71.335,28.11243034511785,63.43351939285051,329828083995.36096,402458330863.9321,USD,Pesos corrientes
2019.0,barriles,175181884.10622966,23950112.1422574,151231771.96397227,54.628943544960244,54.63145510227052,64.30062256809337,48.25485833333334,96.3767044113364,397601586724.27625,538531827668.6328,USD,Pesos corrientes
2020.0,barriles,164705993.94875866,11961897.6554286,152744096.29333007,41.31467005901155,41.31467005901157,41.95725490196079,70.63476524170274,155.1537195126539,533362941374.3019,548591440479.36145,USD,Pesos corrientes
2021.0,barriles,174112871.68014562,0.0,174112871.68014562,56.084874596460544,56.084874596460594,70.85533596837945,95.09325,183.2544403613368,860902714262.9359,1332183188050.9282,USD,Pesos corrientes
2022.0,barriles,199004448.8329207,0.0,199004448.8329207,66.14804903940454,66.14804903940468,100.93130952380952,130.811639,321.6995633231077,2512802066859.134,4739614030279.104,USD,Pesos corrientes
2023.0,barriles,217765786.8019986,0.0,217765786.8019986,64.1528736133494,64.15287361334948,82.49386454183266,295.294897119341,694.730244073937,5580232026204.352,8355012632746.301,USD,Pesos corrientes
2024.0,barriles,237817865.7676833,0.0,237817865.7676833,70.63757168856138,70.6375716885613,80.52185039370079,959.272352941177,2393.116154794713,24086965007828.477,29712362800711.61,USD,Pesos corrientes
2025.0,barriles,266845855.46639988,0.0,266845855.46639988,63.06461383766098,63.064613837660985,69.14264822134388,1122.168145,2613.39,25095072959997.793,29333725718166.434,USD,Pesos corrientes
